comb,f1-0.0,f1-1.0,f1-2.0,f1-3.0,macro.0,best_score_.,hyper.0,f1-0.1,f1-1.1,f1-2.1,f1-3.1,macro.1,best_score_.,hyper.1,f1-0.2,f1-1.2,f1-2.2,f1-3.2,macro.2,best_score_.,hyper.2,f1-0.3,f1-1.3,f1-2.3,f1-3.3,macro.3,best_score_.,hyper.3,f1-0.4,f1-1.4,f1-2.4,f1-3.4,macro.4,best_score_.,hyper.4,f1-0.5,f1-1.5,f1-2.5,f1-3.5,macro.5,best_score_.,hyper.5,f1-0.6,f1-1.6,f1-2.6,f1-3.6,macro.6,best_score_.,hyper.6,f1-0.7,f1-1.7,f1-2.7,f1-3.7,macro.7,best_score_.,hyper.7,f1-0.8,f1-1.8,f1-2.8,f1-3.8,macro.8,best_score_.,hyper.8
30_15_4,0.764378478664193,0.79957805907173,0.0,0.0,0.39098913443398076,0.27030115654049675,"{'oob_score': False, 'max_samples': 5, 'max_features': 1, 'n_estimators': 100}",0.7878172588832487,0.6978869217589948,0.0,0.0,0.3714260451605609,0.29212003821221894,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.5678496868475992,0.43045112781954886,0.0,0.0,0.249575203666787,0.33639812330637264,"{'oob_score': True, 'max_samples': 10, 'max_features': 45, 'n_estimators': 200}",0.5640854472630172,0.18933969769291964,0.0,0.0,0.1883562862389842,0.3777723847730498,"{'oob_score': False, 'max_samples': 10, 'max_features': 45, 'n_estimators': 200}",0.009871668311944718,0.6376897886275678,0.0,0.0,0.16189036423487813,0.29037653712463646,"{'oob_score': True, 'max_samples': 5, 'max_features': 1, 'n_estimators': 200}",0.698473282442748,0.7358184764991896,0.0,0.0,0.35857293973548443,0.26870616479303755,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.09407337723424272,0.6333440825540148,0.0,0.0,0.18185436494706436,0.325370567059893,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.8104529616724739,0.7600806451612904,0.0,0.0,0.3926334017084411,0.2950309141077021,"{'oob_score': False, 'max_samples': 5, 'max_features': 1, 'n_estimators': 200}",0.33333333333333337,0.7635524798154556,0.0,0.0,0.27422145328719727,0.31737523675914214,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}"
10_5_1,0.5557509672880759,0.5849447513812155,0.0,0.012121212121212121,0.2882042326976259,0.25996339131893054,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 10}",0.7492063492063491,0.717827626918536,0.0,0.0,0.3667584940312213,0.2947237301765306,"{'oob_score': False, 'max_samples': 10, 'max_features': 15, 'n_estimators': 200}",0.5931372549019608,0.29198966408268734,0.0,0.0,0.22128172974616203,0.3299400468265369,"{'oob_score': True, 'max_samples': 5, 'max_features': 15, 'n_estimators': 200}",0.5556295802798135,0.02389705882352941,0.0,0.0,0.14488165977583572,0.3813089775722351,"{'oob_score': True, 'max_samples': 10, 'max_features': 15, 'n_estimators': 200}",0.7234501347708894,0.764006791171477,0.0,0.0,0.37186423148559156,0.3593475790346355,"{'oob_score': True, 'max_samples': 10, 'max_features': 15, 'n_estimators': 100}",0.7141955835962145,0.6980976013234077,0.0,0.0,0.3530732962299056,0.25768324986241775,"{'oob_score': True, 'max_samples': 5, 'max_features': 15, 'n_estimators': 200}",0.12367149758454106,0.6425217974513749,0.0,0.0,0.191548323758979,0.33435413856440666,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.8249780123131045,0.7833580980683507,0.0,0.0,0.40208402759536377,0.28149700235089925,"{'oob_score': True, 'max_samples': 5, 'max_features': 1, 'n_estimators': 200}",0.7119741100323624,0.8311688311688312,0.0,0.0,0.3857857353002984,0.3419354272560957,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}"
5_3_2,0.8014555378667273,0.8312314014453734,0.0,0.0,0.40817173482802516,0.305024288412001,"{'oob_score': False, 'max_samples': 10, 'max_features': 9, 'n_estimators': 200}",0.7512716174974567,0.711686709836571,0.0,0.0,0.36573958183350697,0.2833130633999258,"{'oob_score': True, 'max_samples': 10, 'max_features': 9, 'n_estimators': 100}",0.5733082706766917,0.3271375464684015,0.0,0.0,0.22511145428627327,0.33677349785489147,"{'oob_score': True, 'max_samples': 5, 'max_features': 9, 'n_estimators': 200}",0.5649956024626208,0.07056936647955092,0.0,0.0,0.15889124223554293,0.364089658665303,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.8354632587859424,0.856042780748663,0.0,0.0,0.42287650988365133,0.333884930299934,"{'oob_score': False, 'max_samples': 10, 'max_features': 9, 'n_estimators': 200}",0.845890410958904,0.7998766574159728,0.0,0.0,0.4114417670937192,0.2803013403935592,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.3614554178328669,0.6746376811594201,0.0,0.0,0.25902327474807174,0.34838647574514087,"{'oob_score': True, 'max_samples': 10, 'max_features': 9, 'n_estimators': 200}",0.7899978809069718,0.7854634295312262,0.0,0.0,0.3938653276095495,0.30130323976439194,"{'oob_score': False, 'max_samples': 10, 'max_features': 9, 'n_estimators': 200}",0.12705882352941175,0.7398843930635839,0.0,0.0,0.21673580414824892,0.30275705756988813,"{'oob_score': False, 'max_samples': 5, 'max_features': 1, 'n_estimators': 200}"
60_30_8,0.8220583520359088,0.7964463025868828,0.0,0.0,0.4046261636556979,0.27789881725434923,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.8313253012048192,0.7783882783882784,0.0,0.0,0.4024283948982744,0.31891104877926774,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.5553470919324577,0.5007587253414264,0.0,0.0,0.26402645431847105,0.31992814753746657,"{'oob_score': True, 'max_samples': 5, 'max_features': 90, 'n_estimators': 200}",0.5279752704791345,0.18245206275421266,0.0,0.0,0.1776068333083368,0.3559531437166976,"{'oob_score': True, 'max_samples': 5, 'max_features': 1, 'n_estimators': 200}",0.07079646017699115,0.6455958549222798,0.0,0.0,0.17909807877481773,0.3340197486360257,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.23804226918798665,0.6392583635630794,0.0,0.0,0.21932515818776652,0.3010937499923828,"{'oob_score': True, 'max_samples': 10, 'max_features': 90, 'n_estimators': 200}",0.5431093007467752,0.33455305802404595,0.0,0.0,0.2194155896927053,0.29828531526162033,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 10}",0.7274137262504847,0.7465850211964202,0.0,0.0,0.36849968686172624,0.2984911071319779,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.8049645390070921,0.8633288227334235,0.0,0.0,0.4170733404351289,0.26383746378043843,"{'oob_score': False, 'max_samples': 5, 'max_features': 1, 'n_estimators': 100}"
60_90_0,0.8685376661742984,0.8641251221896382,0.0,0.0,0.4331656970909842,0.27798218409579556,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.7913669064748201,0.7707509881422925,0.0,0.0,0.39052947365427815,0.2915299596845527,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.44141689373297005,0.3790087463556852,0.0,0.0,0.20510641002216382,0.2748105368198641,"{'oob_score': False, 'max_samples': 5, 'max_features': 270, 'n_estimators': 100}",0.5444059976931949,0.05714285714285715,0.0,0.0,0.150387213709013,0.3803204013691567,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.5809859154929577,0.6402349486049926,0.0,0.0,0.30530521602448757,0.3008464436816645,"{'oob_score': False, 'max_samples': 10, 'max_features': 270, 'n_estimators': 100}",0.47896440129449847,0.6162790697674418,0.0,0.0,0.2738108677654851,0.25161111950661313,"{'oob_score': False, 'max_samples': 5, 'max_features': 270, 'n_estimators': 100}",0.22560975609756095,0.6400937866354044,0.0,0.0,0.21642588568324134,0.32355189378042964,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.5451263537906137,0.6934046345811052,0.0,0.0,0.30963274709292976,0.2667101662854883,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.7200000000000001,0.8363636363636364,0.0,0.0,0.38909090909090915,0.30530587278103505,"{'oob_score': True, 'max_samples': 5, 'max_features': 1, 'n_estimators': 100}"
5_5_4,0.7454504605706583,0.7961137305329333,0.0,0.0,0.38539104777589794,0.3098460718022194,"{'oob_score': True, 'max_samples': 10, 'max_features': 15, 'n_estimators': 200}",0.8092420400112708,0.7487575924903369,0.0,0.0,0.3894999081254019,0.29385047001106773,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.5507982583454281,0.45161290322580644,0.0,0.0,0.25060279039280864,0.3426731079065969,"{'oob_score': False, 'max_samples': 10, 'max_features': 15, 'n_estimators': 100}",0.5606008876749744,0.1053085886922745,0.0,0.0,0.1664773690918122,0.368417622536772,"{'oob_score': True, 'max_samples': 10, 'max_features': 15, 'n_estimators': 200}",0.7556851311953353,0.8060836501901141,0.0,0.0,0.3904421953463624,0.30949948619065126,"{'oob_score': False, 'max_samples': 10, 'max_features': 15, 'n_estimators': 100}",0.33951658234963467,0.6506849315068494,0.0,0.0,0.247550378464121,0.2761032391593592,"{'oob_score': True, 'max_samples': 5, 'max_features': 15, 'n_estimators': 100}",0.34782608695652173,0.6724262059035278,0.0,0.0,0.25506307321501237,0.34419956647816696,"{'oob_score': False, 'max_samples': 10, 'max_features': 15, 'n_estimators': 200}",0.7405185343904006,0.7291192966499924,0.0,0.0,0.36740945776009826,0.2963887947380877,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.771505376344086,0.8443496801705758,0.0,0.0,0.4039637641286654,0.31088008020294217,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}"
30_45_23,0.8166383701188453,0.8553948832035595,0.0,0.0,0.4180083133306012,0.29737980688555465,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.8119469026548674,0.7575442247658689,0.0,0.0,0.3923727818551841,0.32769339341745307,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.551130247578041,0.13166144200626959,0.0,0.0,0.17069792239607764,0.3090923881511531,"{'oob_score': False, 'max_samples': 5, 'max_features': 1, 'n_estimators': 100}",0.4332833583208396,0.11689961880559084,0.0,0.0,0.1375457442816076,0.34238536139570536,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.40563380281690137,0.6580907244414353,0.0,0.0,0.26593113181458417,0.33396305499324624,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.4355971896955503,0.6620825147347741,0.0,0.0,0.2744199261075811,0.2955755360366873,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.6806282722513088,0.7317939609236235,0.0,0.0,0.3531055582937331,0.3047086860706382,"{'oob_score': True, 'max_samples': 10, 'max_features': 135, 'n_estimators': 100}",0.6583732057416268,0.7299734748010609,0.0,0.0,0.34708667013567196,0.30134256362354434,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.547945205479452,0.7881773399014779,0.0,0.0,0.33403063634523245,0.31806914702257694,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}"
5_5_0,0.8259958071278827,0.8344569288389513,0.0,0.0,0.4151131839917085,0.27497270723074907,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.6933744221879815,0.7100893997445721,0.0,0.0,0.35086595548313837,0.2770532654418233,"{'oob_score': True, 'max_samples': 10, 'max_features': 15, 'n_estimators': 100}",0.5937961595273263,0.23404255319148934,0.0,0.0,0.20695967817970393,0.3294262197196833,"{'oob_score': True, 'max_samples': 10, 'max_features': 15, 'n_estimators': 100}",0.5902912621359223,0.4019769357495881,0.0,0.0,0.2480670494713776,0.36935045712306286,"{'oob_score': True, 'max_samples': 10, 'max_features': 15, 'n_estimators': 100}",0.174496644295302,0.6456310679611651,0.0,0.0,0.20503192806411677,0.27320473595312744,"{'oob_score': False, 'max_samples': 5, 'max_features': 15, 'n_estimators': 200}",0.5989010989010989,0.3611859838274933,0.32727272727272727,0.0,0.3218399525003298,0.29383252879292837,"{'oob_score': True, 'max_samples': 10, 'max_features': 15, 'n_estimators': 10}",0.5544871794871795,0.6978636826042727,0.0,0.0,0.3130877155228631,0.3240359072572793,"{'oob_score': False, 'max_samples': 10, 'max_features': 15, 'n_estimators': 100}",0.4529262086513995,0.6484641638225257,0.0,0.0,0.2753475931184813,0.2566935749570055,"{'oob_score': True, 'max_samples': 5, 'max_features': 1, 'n_estimators': 10}",0.9249999999999999,0.9377289377289378,0.0,0.0,0.46568223443223444,0.33286576868677364,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}"
30_30_8,0.8442844284428443,0.8461538461538461,0.0,0.0,0.42260956864917265,0.2738875418401637,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.6195121951219512,0.6717411988582302,0.0,0.0,0.3228133484950454,0.28021706137445784,"{'oob_score': False, 'max_samples': 10, 'max_features': 90, 'n_estimators': 100}",0.5481651376146789,0.1897018970189702,0.0,0.0,0.18446675865841228,0.35448665944382923,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.5575515635395876,0.15384615384615385,0.0,0.0,0.17784942934643536,0.3542254939465859,"{'oob_score': False, 'max_samples': 10, 'max_features': 90, 'n_estimators': 200}",0.2461538461538462,0.6371335504885994,0.0,0.0,0.2208218491606114,0.32050122659917435,"{'oob_score': True, 'max_samples': 5, 'max_features': 1, 'n_estimators': 200}",0.36803874092009686,0.6589595375722543,0.0,0.0,0.2567495696230878,0.3144994069076648,"{'oob_score': False, 'max_samples': 5, 'max_features': 1, 'n_estimators': 100}",0.1319073083778966,0.6385780118499013,0.0,0.0,0.19262133005694948,0.31146413257258226,"{'oob_score': False, 'max_samples': 10, 'max_features': 90, 'n_estimators': 200}",0.4384787472035794,0.6725663716814159,0.0,0.0,0.2777612797212488,0.2715676442521626,"{'oob_score': False, 'max_samples': 5, 'max_features': 1, 'n_estimators': 200}",0.24561403508771928,0.7471526195899771,0.0,0.0,0.2481916636694241,0.29428070850134896,"{'oob_score': False, 'max_samples': 10, 'max_features': 90, 'n_estimators': 200}"
60_90_68,0.847530422333572,0.8572116542258609,0.0,0.0,0.42618551913985825,0.2942710385484764,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.6430635838150289,0.45909955611921377,0.0,0.0,0.27554078498356066,0.25042297558818294,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 10}",0.5952518818760858,0.37732656514382407,0.0,0.0,0.24314461175497748,0.31568085089862147,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 100}",0.5582104728012202,0.6339165545087483,0.0,0.0,0.2980317568274921,0.32101086516283406,"{'oob_score': False, 'max_samples': 5, 'max_features': 1, 'n_estimators': 100}",0.19956300072833213,0.6452131938857603,0.0,0.0,0.2111940486535231,0.3152138868212833,"{'oob_score': False, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.5464480874316939,0.6987740805604203,0.0,0.0,0.31130554199802857,0.2883602982230643,"{'oob_score': True, 'max_samples': 10, 'max_features': 1, 'n_estimators': 200}",0.052117263843648204,0.6265193370165746,0.0,0.0,0.1696591502150557,0.27052539629686406,"{'oob_score': True, 'max_samples': 10, 'max_features': 270, 'n_estimators': 100}",0.49420849420849416,0.6681514476614699,0.0,0.0,0.29058998546749104,0.2656972664369658,"{'oob_score': True, 'max_samples': 5, 'max_features': 270, 'n_estimators': 200}",0.634920634920635,0.7527472527472527,0.0,0.0,0.3469169719169719,0.27840703539761996,"{'oob_score': False, 'max_samples': 10, 'max_features': 270, 'n_estimators': 100}"
