comb,f1-0.0,f1-1.0,f1-2.0,f1-3.0,macro.0,best_score_.0,hyper.0,f1-0.1,f1-1.1,f1-2.1,f1-3.1,macro.1,best_score_.1,hyper.1,f1-0.2,f1-1.2,f1-2.2,f1-3.2,macro.2,best_score_.2,hyper.2,f1-0.3,f1-1.3,f1-2.3,f1-3.3,macro.3,best_score_.3,hyper.3,f1-0.4,f1-1.4,f1-2.4,f1-3.4,macro.4,best_score_.4,hyper.4,f1-0.5,f1-1.5,f1-2.5,f1-3.5,macro.5,best_score_.5,hyper.5,f1-0.6,f1-1.6,f1-2.6,f1-3.6,macro.6,best_score_.6,hyper.6,f1-0.7,f1-1.7,f1-2.7,f1-3.7,macro.7,best_score_.7,hyper.7,f1-0.8,f1-1.8,f1-2.8,f1-3.8,macro.8,best_score_.8,hyper.8
30_15_4,0.8604547481052163,0.8803088803088803,0.4020618556701031,0.39880952380952384,0.6354087519734308,0.5041917659537254,"{'splitter': 'random', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': 40, 'max_leaf_nodes': None}",0.8632676709154112,0.8352803738317757,0.40268456375838935,0.44642857142857145,0.6369152949835369,0.5287909630230183,"{'splitter': 'random', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': 40, 'max_leaf_nodes': None}",0.6531835205992509,0.5202453987730061,0.2948402948402948,0.3522388059701492,0.45512700504567527,0.5200124558138006,"{'splitter': 'random', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': None, 'max_leaf_nodes': None}",0.6301790281329923,0.635047428856715,0.35014836795252224,0.32418952618453867,0.484891087781692,0.5362136088436487,"{'splitter': 'random', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 60, 'max_leaf_nodes': None}",0.001968503937007874,0.6173800259403373,0.27234042553191495,0.15686274509803924,0.2621379251268248,0.5798153111072706,"{'splitter': 'random', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': None, 'max_leaf_nodes': None}",0.9446935724962632,0.8762338648443432,0.41441441441441446,0.4069264069264069,0.660567064670357,0.5315864753655799,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': None, 'max_leaf_nodes': None}",0.848651623555311,0.8244498777506113,0.23411371237458192,0.26737967914438504,0.5436487232062224,0.5351116695909525,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': None, 'max_leaf_nodes': None}",0.8533123028391167,0.8402166553825321,0.47146401985111663,0.34300791556728233,0.627000223410012,0.5056849717947429,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': 60, 'max_leaf_nodes': None}",0.7069486404833837,0.8734353268428373,0.3384615384615385,0.41509433962264153,0.5834849613526002,0.5259891713951469,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': 40, 'max_leaf_nodes': 60}"
10_5_1,0.8579136690647483,0.8757359776882555,0.33333333333333337,0.21722846441947563,0.5710528611264533,0.4867620975009356,"{'splitter': 'random', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': None}",0.8660766961651918,0.8452237001209191,0.36491228070175447,0.3356643356643356,0.6029692531630502,0.530967689999213,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': 60, 'max_leaf_nodes': None}",0.7123695976154992,0.5109289617486339,0.25074626865671645,0.33066666666666666,0.451177873671879,0.5112105044255312,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': None, 'max_leaf_nodes': None}",0.6481210346510492,0.6206896551724139,0.35502958579881655,0.23738872403560832,0.465307249914472,0.5243891947762317,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': None}",0.008138351983723296,0.6353333333333333,0.3054187192118226,0.25862068965517243,0.3018777735460129,0.5644940104359443,"{'splitter': 'random', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': 20, 'max_leaf_nodes': None}",0.9218989280245022,0.8897455666923672,0.4055299539170507,0.26744186046511625,0.6211540772747591,0.4793894737413072,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': 40, 'max_leaf_nodes': 40}",0.48543689320388345,0.7054673721340388,0.1254125412541254,0.17518248175182483,0.3728748220859681,0.5240973632254116,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': None, 'max_leaf_nodes': None}",0.8468762760310331,0.828087167070218,0.3296089385474861,0.242603550295858,0.5617939829861488,0.519807576384468,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': 20, 'max_leaf_nodes': None}",0.6996904024767802,0.8555240793201134,0.43636363636363634,0.25,0.5603945295401325,0.5082235188990167,"{'splitter': 'random', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 20, 'max_leaf_nodes': None}"
5_3_2,0.8630801200646502,0.8793368130181148,0.41997063142437596,0.43543543543543545,0.649455749985644,0.48418428296150295,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': 20, 'max_leaf_nodes': None}",0.8362871733253229,0.817328082399273,0.35409836065573774,0.33333333333333337,0.5852617374284168,0.5150390277612898,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': 60, 'max_leaf_nodes': None}",0.6639400136332653,0.4655612244897959,0.2173112338858195,0.2303262955854127,0.3942846918985733,0.5046847405424939,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 40, 'max_leaf_nodes': 40}",0.7020280811232449,0.7275219298245614,0.3291839557399724,0.4,0.5396834916719446,0.5395463187477313,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': 40, 'max_leaf_nodes': None}",0.008150789607743252,0.6423548650858544,0.323170731707317,0.3395348837209302,0.3283028175304612,0.5653388446784213,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 60}",0.9219642177388656,0.8867699642431466,0.3623188405797101,0.3474178403755869,0.6296177157343273,0.5222550013303066,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': 20, 'max_leaf_nodes': None}",0.822380106571936,0.812785388127854,0.2608695652173913,0.3653250773993808,0.5653400343291406,0.5380951853699655,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': 20, 'max_leaf_nodes': None}",0.8376623376623377,0.831429560401523,0.4191279887482419,0.3236641221374046,0.6029710022373768,0.5325659990859825,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': 20, 'max_leaf_nodes': None}",0.6557377049180327,0.842998585572843,0.46774193548387094,0.39999999999999997,0.5916195564936867,0.5018880062013806,"{'splitter': 'random', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': None, 'max_leaf_nodes': None}"
60_30_8,0.8666666666666667,0.8733823902562801,0.3741935483870968,0.34224598930481287,0.6141221486537141,0.48515480181268217,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 60}",0.8834170854271357,0.851063829787234,0.3815028901734104,0.4253164556962025,0.6353250652709956,0.5339108297187308,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': 20, 'max_leaf_nodes': None}",0.7123123123123124,0.46794871794871795,0.34642032332563516,0.25882352941176473,0.44637622074960753,0.5232892858889167,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 40, 'max_leaf_nodes': 60}",0.5763422818791947,0.5378753922008068,0.3387470997679814,0.3502304147465438,0.4507987971486317,0.5379421038876108,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 60, 'max_leaf_nodes': None}",0.008410428931875526,0.6501068376068376,0.4444444444444444,0.3148148148148149,0.3544441314494931,0.5787697487661289,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': None}",0.9385194479297365,0.8971354166666667,0.445414847161572,0.3445692883895131,0.6564097500368721,0.5358140346181332,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': None, 'max_leaf_nodes': None}",0.821446138711264,0.8078740157480315,0.27848101265822783,0.27322404371584696,0.5452563027083426,0.5426505230563666,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': None, 'max_leaf_nodes': None}",0.8785547005687521,0.8535251798561151,0.35454545454545455,0.31553398058252435,0.6005398288882116,0.5360401814769884,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 40, 'max_leaf_nodes': None}",0.4304635761589404,0.7986870897155361,0.2926829268292683,0.28125,0.45077089817593624,0.5336296258205676,"{'splitter': 'random', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': 20, 'max_leaf_nodes': None}"
60_90_0,0.8549382716049383,0.8677354709418837,0.37209302325581395,0.4594594594594595,0.638556556315524,0.4492340949266617,"{'splitter': 'random', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': 40, 'max_leaf_nodes': 60}",0.8475247524752477,0.8132295719844358,0.3278688524590164,0.325,0.578405794229675,0.523738259055844,"{'splitter': 'random', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 60}",0.6859903381642513,0.5194805194805194,0.20689655172413796,0.32608695652173914,0.434613591472662,0.5338472633733033,"{'splitter': 'random', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 20, 'max_leaf_nodes': None}",0.6555740432612313,0.6081871345029239,0.34545454545454546,0.33333333333333337,0.48563726413800845,0.506590762843014,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 40, 'max_leaf_nodes': None}",0.03289473684210527,0.5012165450121655,0.19753086419753085,0.0594059405940594,0.19776202166146528,0.5745227473749583,"{'splitter': 'random', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': 60, 'max_leaf_nodes': None}",0.8900000000000001,0.8716577540106952,0.5625,0.41666666666666663,0.6852061051693404,0.4777046285755944,"{'splitter': 'random', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': 40, 'max_leaf_nodes': 60}",0.6294642857142856,0.6562500000000001,0.07643312101910828,0.1138211382113821,0.368992136236194,0.5426279071537066,"{'splitter': 'random', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': 60, 'max_leaf_nodes': None}",0.8590971272229823,0.8248847926267282,0.3047619047619048,0.3333333333333333,0.5805192894862371,0.5056417775511027,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': 60, 'max_leaf_nodes': None}",0.5909090909090909,0.8292682926829269,0.33333333333333326,0.38095238095238093,0.533615774469433,0.5071247926927399,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 60}"
5_5_4,0.848910751932537,0.8758716875871688,0.38676844783715003,0.4294117647058823,0.6352406630156845,0.511022742167665,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': None, 'max_leaf_nodes': None}",0.853310002916302,0.8328322309079976,0.342741935483871,0.3829059829059829,0.6029475380535384,0.5166127163919148,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 60, 'max_leaf_nodes': 60}",0.6783954961294862,0.5169112954690491,0.2023809523809524,0.3143297380585516,0.4280043705095098,0.5347796077252174,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 20, 'max_leaf_nodes': 60}",0.5825932504440496,0.02513291445142581,0.3564064801178203,0.3151515151515151,0.3198210400412027,0.5413286691225156,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': 20, 'max_leaf_nodes': 60}",0.005,0.6526212640862323,0.22222222222222224,0.41691842900302123,0.32419047882786894,0.5865520527587996,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 60, 'max_leaf_nodes': 60}",0.9231956773446547,0.8716726261422328,0.4009661835748792,0.4235807860262009,0.6548538182719918,0.5369579895021512,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': 40, 'max_leaf_nodes': None}",0.5070948469006722,0.7765905779504614,0.20571428571428568,0.1175115207373272,0.4017278078256866,0.5545229461655192,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': None, 'max_leaf_nodes': None}",0.8519040902679831,0.8325541125541125,0.49777777777777776,0.36335877862595417,0.6363986898064569,0.529007792359025,"{'splitter': 'random', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 40, 'max_leaf_nodes': None}",0.5888324873096447,0.8250000000000001,0.5112781954887218,0.4,0.5812776706995917,0.5250529343938803,"{'splitter': 'random', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 20, 'max_leaf_nodes': None}"
30_45_23,0.8608923884514436,0.8653260207190737,0.45933014354066987,0.42105263157894735,0.6516502960725337,0.4711313857643686,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': 40, 'max_leaf_nodes': 60}",0.861397479954181,0.8473019517795637,0.45454545454545453,0.3924050632911393,0.6389124873925845,0.520476226869679,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': 40, 'max_leaf_nodes': None}",0.7146974063400576,0.4906666666666666,0.3548387096774193,0.3597883597883598,0.4799977856181258,0.5204298013419829,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 60, 'max_leaf_nodes': 60}",0.5359942979330007,0.0069686411149825775,0.21126760563380279,0.3876651982378855,0.28547393572991786,0.540601702331656,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': 60, 'max_leaf_nodes': 60}",0.023121387283236993,0.6387301587301587,0.2686567164179105,0.125,0.26387706560782653,0.6036613546102081,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': None, 'max_leaf_nodes': 60}",0.9151079136690647,0.8698315467075038,0.537037037037037,0.4791666666666667,0.700285791020068,0.5183208536874134,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': 40, 'max_leaf_nodes': 60}",0.6751592356687898,0.7917026793431288,0.24,0.14193548387096777,0.4621993497207215,0.5484584374738536,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 20, 'max_leaf_nodes': 60}",0.8405103668261563,0.8373015873015873,0.4827586206896552,0.4329896907216495,0.6483900663847622,0.5146795061448218,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 60}",0.5430463576158939,0.8291316526610644,0.38888888888888884,0.2631578947368421,0.5060561984756723,0.5386013186482271,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': None}"
5_5_0,0.8325581395348837,0.8742331288343559,0.4492753623188406,0.3823529411764706,0.6346048929661378,0.4965953288798545,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': None, 'max_leaf_nodes': None}",0.878048780487805,0.8290468986384265,0.47619047619047616,0.44799999999999995,0.6578215388291769,0.5174646712345431,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': 20, 'max_leaf_nodes': None}",0.65,0.423841059602649,0.2580645161290323,0.296875,0.40719514393292033,0.4994915552264997,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': 20, 'max_leaf_nodes': 40}",0.5938748335552596,0.6203208556149732,0.4096385542168675,0.39160839160839167,0.503860658748873,0.5471385047097742,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': 40, 'max_leaf_nodes': None}",0.005089058524173028,0.6590909090909091,0.23952095808383228,0.12500000000000003,0.2571752314247286,0.5768596262668126,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 60, 'max_leaf_nodes': None}",0.8976377952755905,0.8316430020283975,0.4536082474226804,0.42857142857142855,0.6528651183245242,0.5083277500597436,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': 60, 'max_leaf_nodes': None}",0.7000000000000001,0.8226779252110976,0.3736263736263736,0.16417910447761194,0.5151208508287708,0.5430297368939722,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': 60, 'max_leaf_nodes': None}",0.8189300411522634,0.819614711033275,0.36781609195402304,0.1111111111111111,0.5293679888126681,0.4967897395776521,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': None, 'max_leaf_nodes': 40}",0.64,0.8530465949820788,0.1904761904761905,0.4800000000000001,0.5408806963645674,0.5513365043731837,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 1, 'max_depth': None, 'max_leaf_nodes': None}"
30_30_8,0.8559027777777778,0.8768768768768769,0.33513513513513515,0.40243902439024387,0.6175884535450085,0.47559125257999635,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 1, 'max_depth': 20, 'max_leaf_nodes': 60}",0.8674971687429219,0.8304093567251463,0.43795620437956206,0.5341614906832298,0.667506055132715,0.519048149455248,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': None}",0.6779184247538678,0.5076923076923077,0.23030303030303031,0.3820224719101124,0.4494840586648295,0.5367949534832387,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 20, 'max_leaf_nodes': None}",0.6610703043022036,0.7063267233238905,0.26250000000000007,0.3068181818181818,0.48417880236106897,0.5644504587760477,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': 20, 'max_leaf_nodes': None}",0.011787819253438114,0.6413662239089184,0.30107526881720426,0.36036036036036034,0.32864741808498027,0.5906668527459032,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 60}",0.9208211143695014,0.8925869894099849,0.5576923076923078,0.48598130841121495,0.7142704299707523,0.5309307410666395,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 20, 'max_leaf_nodes': 60}",0.8093126385809313,0.8406337371854613,0.3333333333333333,0.2597402597402597,0.5607549922099964,0.5552140051991066,"{'splitter': 'best', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 20, 'max_leaf_nodes': 60}",0.8696330991412959,0.8598130841121495,0.4321608040201005,0.423076923076923,0.6461709775876172,0.5141902731488843,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': None, 'max_leaf_nodes': 60}",0.5633802816901409,0.8275862068965517,0.32,0.3684210526315789,0.5198468853045679,0.5369621287098261,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': 40, 'max_leaf_nodes': 60}"
60_90_68,0.8661170003926189,0.8732747804265997,0.4154175588865096,0.4987012987012986,0.6633776596017567,0.5032249633915201,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': None}",0.8607843137254902,0.8477728830151737,0.3956043956043957,0.4717948717948719,0.6439891160349829,0.5340104944370155,"{'splitter': 'random', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': None}",0.7019790454016297,0.5113759479956662,0.29341317365269465,0.3867684478371501,0.4733841537217851,0.5378390795298709,"{'splitter': 'random', 'min_samples_split': 2, 'criterion': 'entropy', 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': None}",0.5873968492123031,0.42216358839050133,0.34272300469483563,0.39014373716632444,0.4356067948659912,0.5613812699707337,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 20, 'max_leaf_nodes': None}",0.01990049751243781,0.6402373247033442,0.35335689045936397,0.026143790849673203,0.25990962588120475,0.6228504022691826,"{'splitter': 'best', 'min_samples_split': 2, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 40, 'max_leaf_nodes': None}",0.9229781771501925,0.8793324775353017,0.47104247104247104,0.45344129554655876,0.6816986053186309,0.5276927999461423,"{'splitter': 'best', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 5, 'max_depth': 40, 'max_leaf_nodes': None}",0.8349976224441276,0.8273692489186002,0.28054298642533937,0.11055276381909547,0.5133656554017906,0.557771679961812,"{'splitter': 'random', 'min_samples_split': 10, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 60, 'max_leaf_nodes': None}",0.8630046326935804,0.8442268931759286,0.45393258426966293,0.3655913978494623,0.6316888769971586,0.5160037122564783,"{'splitter': 'random', 'min_samples_split': 20, 'criterion': 'gini', 'min_samples_leaf': 10, 'max_depth': 40, 'max_leaf_nodes': None}",0.6519337016574585,0.8170310701956272,0.3098591549295775,0.3333333333333333,0.5280393150289991,0.5641560145494815,"{'splitter': 'random', 'min_samples_split': 20, 'criterion': 'entropy', 'min_samples_leaf': 5, 'max_depth': 40, 'max_leaf_nodes': None}"
