comb,f1-0,f1-1,f1-2,f1-2,macro f1,micro f1
30_15_4,0.7129806710701057,0.7839001635424055,0.42547341222363666,0.4100351096954419,0.5830973391328974,0.73166714173412
10_5_1,0.6673762984811487,0.7678706134990199,0.42802112703911743,0.3920374356517525,0.5638263686677596,0.7076521939667016
5_3_2,0.6665713437672678,0.7696491873985136,0.3993871667189575,0.3909411884280447,0.5566372215781958,0.7023030411736308
60_30_8,0.7250120404948731,0.7906826909686734,0.4432523615604998,0.40715286557853936,0.5915249896506464,0.7402745647364958
60_90_0,0.7194467814497265,0.7443897067342969,0.416051753599071,0.4429924378304814,0.5807201699033939,0.7211755155041852
5_5_4,0.6410915650007093,0.7614897422857072,0.4396597101785653,0.42449357754003864,0.5666836487512551,0.7008750816398156
30_45_23,0.7157804840106797,0.760391397284618,0.4353958910888765,0.4234237064686894,0.5837478697132159,0.7294201697496852
5_5_0,0.6931178221839487,0.7586495612836763,0.3982597266068904,0.371245596632887,0.5553181766768506,0.70955274443395
30_30_8,0.7134186206795667,0.7627684875285892,0.4269598827645777,0.41873438074616276,0.5804703429297242,0.728618587743075
60_90_68,0.7130521883644281,0.7662815696604277,0.47050659528000316,0.48014770119288275,0.6074970136244355,0.7367188744847292
50_100_75,0.7170234893594851,0.7765074925286927,0.4654925742329822,0.4615976268809548,0.6051552957505286,0.7365977037395942
30_30_15,0.7280957070896279,0.7697990725758357,0.456055213493396,0.42294488267003727,0.5942237189572241,0.7356386777047863
60_120_90,0.7133151884635018,0.7632480875903259,0.4636586145292887,0.4879011889388249,0.6070307698804854,0.7349100849292598
10_10_8,0.7072082878077085,0.789809997582403,0.4597391573322105,0.4578516084186559,0.6036522627852445,0.7366059759605482
10_20_0,0.7281881931802532,0.7410390389328014,0.3582976527696411,0.3885693073361485,0.554023548054711,0.721316502612446
30_15_0,0.6974606569487926,0.7707347838840573,0.4526338882900094,0.38728380313404565,0.5770282830642262,0.7229381151728179
60_30_23,0.7283418363304244,0.8067728864530941,0.4787632279531888,0.4405057643355158,0.6135959287680558,0.7542828146360404
50_25_0,0.7236017972693538,0.7893434715611846,0.4524910829592799,0.4251141830272382,0.5976376337042641,0.744575907530033
50_25_6,0.7092794887666726,0.7812129736112972,0.41335218551331016,0.4324685802845699,0.5840783070439625,0.7305999430427322
30_45_0,0.71419192435176,0.7175620361646691,0.3702962255712112,0.3734806418514136,0.5438827069847636,0.700925479106611
5_10_8,0.7010826852212997,0.7725465962509307,0.4483769904930281,0.47733362335444274,0.5998349738299252,0.7265388389149813
30_15_11,0.7211769228136382,0.7951700876005795,0.4739629815880677,0.43431832729724346,0.6061570798248823,0.7436670423930517
30_60_30,0.7262545568491817,0.7628620721943598,0.4132062570236224,0.44361602178041887,0.5864847269618957,0.7338708474085164
10_5_0,0.6878433158110276,0.7598854381915096,0.4175008187914565,0.3789647540942178,0.5610485817220529,0.7112981076612965
60_60_15,0.7296864304397456,0.7832890202724359,0.4510622948442665,0.4406594797392283,0.6011743063239191,0.7427206066739036
10_10_0,0.6987211712504493,0.7599630837566203,0.4331854597895899,0.4006096620186269,0.5731198442038216,0.7167134021676804
50_100_50,0.7333508715951254,0.768091638239204,0.4584495388159383,0.47266172010428714,0.6081384421886387,0.7436590285420883
30_60_15,0.7044531269411491,0.7414877880680537,0.3862525229363282,0.44784463759314735,0.5700095188846696,0.7185353407299079
60_60_0,0.7196140512762702,0.7671064971897388,0.40634824400426095,0.3576883626051913,0.5626892887688653,0.7269879362220022
10_20_5,0.7006505538999573,0.7406095772720998,0.4238654390456873,0.39640130446553584,0.56538171867082,0.7165003183634469
5_10_0,0.6702082617805837,0.7102064374402511,0.38997549831047024,0.3396608265271797,0.5275127560146211,0.6804398483690098
50_75_19,0.7238298311658604,0.7707904550472839,0.3967333007026161,0.44509412139856686,0.5841119270785818,0.7365142618542028
10_15_11,0.7138004810128395,0.7797120222041297,0.44161416931358954,0.47202808748530445,0.6017886900039657,0.7360653559981473
5_3_0,0.6528509588901281,0.7453556159312852,0.40505572773087617,0.3775245279932387,0.5451967076363821,0.6900702822955486
30_45_11,0.7214344089948864,0.7521106015074935,0.4299150568548879,0.48190505091966135,0.5963412795692323,0.7296391747657299
60_120_0,0.718874700041585,0.7485931961519952,0.4182478263395442,0.4182030650041441,0.5759796968843172,0.7243462494571249
10_20_10,0.7031440773966904,0.754747277132058,0.42753458283588797,0.4210144045741433,0.576610085484695,0.7229631759331588
5_10_3,0.6746564024262859,0.7220128402904022,0.34392543991957675,0.43186610580083235,0.5431151971092743,0.6927861673656598
10_15_0,0.6663414367793152,0.7479235640757805,0.382965607295226,0.3310222962023007,0.5320632260881557,0.6962863078048698
10_15_4,0.6979747450621349,0.7541323598821452,0.37737896378724384,0.42554024342627056,0.5637565780394486,0.71584262872629
60_60_45,0.740485619626829,0.795255236590769,0.4918508523496617,0.4511729792651754,0.6196911719581087,0.7546829047125923
30_60_0,0.6961985104967114,0.7385576412719028,0.40192877440610947,0.408431557583884,0.5612791209396519,0.7148235111286588
10_10_5,0.683589272764155,0.7646400529364048,0.43295600546327895,0.426359530334039,0.5768862153744694,0.7149836266363668
50_75_0,0.7007443048201369,0.7502057146885591,0.42260462107664015,0.39121982780663217,0.5661936170979921,0.7144237690111697
30_45_34,0.7311627561060656,0.7775919204000245,0.4536134927000544,0.48470935470919735,0.6117693809788355,0.7441409157867418
50_25_13,0.7271255632866219,0.7917640854143362,0.4620783237797481,0.4321123843253492,0.6032700892015138,0.7449951554261817
50_50_0,0.7015175873219395,0.7578708999456366,0.46548503965522986,0.43801080974124496,0.5907210841660127,0.7237367745996557
10_5_3,0.6868685846423882,0.7716744429817048,0.45652391877804227,0.41146437328481444,0.5816328299217374,0.7174187676009248
30_30_22,0.7096504010103688,0.7727359450039464,0.47799201264062563,0.47346637949974657,0.6084611845386719,0.7330312705309591
60_90_45,0.7397944773530055,0.7851940586441386,0.44743069960996007,0.4402920628699946,0.6031778246192747,0.7503251532840706
60_30_0,0.7036464933906105,0.779835033418834,0.42449376988021487,0.398913706201334,0.5767222507227483,0.7263435387888173
10_5_4,0.6684500031781978,0.7722258896354754,0.462817084685986,0.4223698038871527,0.581465695346703,0.7138029357896802
30_15_8,0.6551713238269596,0.7683592459059576,0.442297879186885,0.42127318452789875,0.5717754083619252,0.7092738800135767
60_30_15,0.6865361191720324,0.7772420232941798,0.4369675978331238,0.4206832426059144,0.5803572457263125,0.7209110806405384
60_120_60,0.7321824432697487,0.7648918548164403,0.4056101920864213,0.471914713174865,0.5936498008368688,0.7395863107222722
50_25_19,0.7198620749815283,0.8021305152752395,0.48637862326579234,0.4554030386382986,0.6159435630402146,0.7480537234813432
5_8_0,0.6817118538441899,0.7318053087123362,0.31100207217998277,0.4246964553898587,0.537303922531592,0.696003411033233
5_5_1,0.6917115328093025,0.7729930349174252,0.40417516648565444,0.3588670256900659,0.556936689975612,0.7126570168303747
50_100_0,0.6710930565532018,0.7360040798517061,0.36132164081603996,0.3707429109384219,0.5347904220398425,0.7006490302144536
10_15_8,0.6933821443178493,0.7759241256297033,0.41920324226081607,0.45506096845770483,0.5858926201665184,0.7255529797865025
50_50_13,0.7306373985391498,0.7770540778602505,0.445633659704317,0.3950527843187399,0.5870944801056144,0.7373235008519738
50_50_25,0.7099906418474774,0.7641789126995973,0.4027033369685144,0.3964865025892317,0.5683398485262052,0.7219493375585861
5_8_2,0.6577777922564219,0.7364557941654072,0.4421812788103956,0.46607910667652785,0.575623492977188,0.696502315710613
50_75_38,0.7239276232008147,0.7709077644138211,0.450218468177505,0.4418983726520422,0.5967380571110457,0.7378195226231133
60_120_30,0.7236770001987582,0.7522768738748377,0.4256534649227139,0.4364070496968032,0.5845035971732784,0.7317407880742073
5_10_5,0.6970227945332506,0.7512848127441033,0.43526756126090477,0.4607119976071121,0.5860717915363427,0.7151180787563043
10_10_3,0.6918221670125537,0.7696093634994425,0.4374675067465432,0.39153617522680506,0.5726088031213362,0.718697887628303
