comb,f1-0,f1-1,f1-2,f1-2,macro f1,micro f1
30_15_4,0.7442509954246432,0.7355781601321798,0.3523265293695497,0.33924614305742673,0.5428504569959498,0.7254223319109697
10_5_1,0.733517193862257,0.7171751165678801,0.2912843071405635,0.33875714583569766,0.5201834408515995,0.714421353653603
5_3_2,0.713352416982857,0.6956695374622226,0.33330175173761956,0.3227809977170786,0.5162761759749444,0.6995829845203113
60_30_8,0.7446189644545227,0.7209354491201092,0.35566276506217953,0.3516697136844892,0.543221723080325,0.7244629969949703
60_90_0,0.6178800590140937,0.6259633077300379,0.12986350354940984,0.23506507657547754,0.4021929867172548,0.6420101463895038
5_5_4,0.7070171967113386,0.6861597847910033,0.3910476374446483,0.36736935650044034,0.5378984938618576,0.697456980766672
30_45_23,0.7157024464381397,0.684542223114386,0.23077204668721377,0.30636251391061675,0.48434480753758913,0.694346177065011
5_5_0,0.6780969432444461,0.6698759760879673,0.31771178933497596,0.30367129246157853,0.492339000282242,0.6743106387489214
30_30_8,0.6311811074550085,0.6949831170186018,0.3565725833450411,0.42135764140325044,0.5260236123054755,0.681541806241428
60_90_68,0.7246831660661076,0.6565510212263774,0.3055377110499507,0.3880905035558879,0.518715600474581,0.7000060500822176
50_100_75,0.7293857782484329,0.7178763778769128,0.23635660015843907,0.44758319546654235,0.5328004879375818,0.7136567868643182
30_30_15,0.7359379117663738,0.728969272792182,0.39194940724422744,0.41996606831069244,0.569205665028369,0.7241530042660762
60_120_90,0.753180766811036,0.7479406827621091,0.32853275811942023,0.4509578529637008,0.5701530151640664,0.7387899386431624
10_10_8,0.7257974576787029,0.7012333498676698,0.44940798009567867,0.4185738803751091,0.57375316700429,0.7185375302544886
10_20_0,0.60565522892782,0.6231552324988399,0.08282487147735375,0.14622602044401686,0.36446533833700756,0.6348096277441019
30_15_0,0.7421465802949806,0.7165914858032953,0.3881208111532955,0.39300464312224853,0.559965880093455,0.7259484103545282
