comb,f1-0.0,f1-1.0,f1-2.0,f1-3.0,macro.0,best_score_.,hyper.0,f1-0.1,f1-1.1,f1-2.1,f1-3.1,macro.1,best_score_.,hyper.1,f1-0.2,f1-1.2,f1-2.2,f1-3.2,macro.2,best_score_.,hyper.2,f1-0.3,f1-1.3,f1-2.3,f1-3.3,macro.3,best_score_.,hyper.3,f1-0.4,f1-1.4,f1-2.4,f1-3.4,macro.4,best_score_.,hyper.4,f1-0.5,f1-1.5,f1-2.5,f1-3.5,macro.5,best_score_.,hyper.5,f1-0.6,f1-1.6,f1-2.6,f1-3.6,macro.6,best_score_.,hyper.6,f1-0.7,f1-1.7,f1-2.7,f1-3.7,macro.7,best_score_.,hyper.7,f1-0.8,f1-1.8,f1-2.8,f1-3.8,macro.8,best_score_.,hyper.8
30_15_4,0.898297284859641,0.9103291713961407,0.5731343283582089,0.6158940397350994,0.7494137060872725,0.5970225746964178,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.8897818599311138,0.8846597462514417,0.4575645756457564,0.5599999999999999,0.698001545457078,0.6498231741230901,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.7275280898876405,0.5516304347826086,0.36298932384341637,0.5232815964523282,0.5413573612414985,0.6352840366405766,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.8356299212598425,0.8526645768025078,0.47593582887700536,0.5053191489361702,0.6673873689688815,0.6254208084707212,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.0,0.6631183469004382,0.5373134328358209,0.4766839378238342,0.4192789293900233,0.6976549687650738,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}",0.9510385756676558,0.9400151860288534,0.5074626865671641,0.5867768595041323,0.7463233269419514,0.6540502524280382,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.9194214876033058,0.8896418199419168,0.32124352331606215,0.3137254901960784,0.6110080802643407,0.6548292138349262,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9302499067512123,0.8926630434782609,0.586894586894587,0.39864864864864863,0.7021140464431772,0.6278355623193086,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.713375796178344,0.8655913978494624,0.7368421052631579,0.6415094339622641,0.7393296833133071,0.6474294681992276,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}"
10_5_1,0.8818011257035647,0.8982142857142856,0.5345911949685535,0.5594405594405595,0.7185117914567408,0.5681953241034721,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.8730064973419965,0.8719182200841854,0.41666666666666663,0.4866666666666667,0.6620645126898789,0.6051030402400145,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 5}",0.7163531114327063,0.5605633802816902,0.2939068100358423,0.4745762711864407,0.5113498932341699,0.5996242298504568,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.7636013480982186,0.7633069082672705,0.4584527220630373,0.3757575757575758,0.5902796385465255,0.6018327622953448,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 5}",0.002068252326783868,0.6616737219146858,0.5410628019323672,0.4161849710982659,0.4052474368180257,0.6640490661219021,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}",0.9461713419257013,0.936866718628215,0.46875,0.494949494949495,0.7116843888758528,0.614996298967634,"{'min_samples_split': 2, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.8858909499718943,0.8656716417910447,0.3502824858757062,0.43708609271523174,0.6347327925884693,0.6154663573801462,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 5}",0.8899408284023669,0.8688981868898188,0.5386996904024768,0.3161290322580645,0.6534169344881817,0.6109924965046224,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 5}",0.6464646464646464,0.8535911602209945,0.4912280701754386,0.5652173913043479,0.6391253170413569,0.6164569975190063,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 5}"
5_3_2,0.8747099767981438,0.8958301743745262,0.544049459041731,0.56875,0.7208349025536003,0.5412266853554613,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 5}",0.8627336448598131,0.8482991112473184,0.4265734265734266,0.3958691910499139,0.633368843432618,0.6039991594534156,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 5}",0.7248973497573722,0.5819444444444444,0.3254237288135593,0.4877479579929989,0.5300033702520938,0.5908591434345997,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.7619047619047619,0.7777476255088195,0.4283727399165507,0.4754316069057104,0.6108641835589607,0.5962862940668175,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 5}",0.0020607934054611026,0.6622128075606974,0.505800464037123,0.39755351681957185,0.39190689545571333,0.6544062202642055,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9362838611217092,0.9155206286836935,0.416243654822335,0.4339622641509434,0.6755026021946704,0.6083715149011515,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.7788819875776397,0.8127306273062732,0.31981981981981983,0.41304347826086957,0.5811189782411506,0.621019671922803,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.8701220732439464,0.8529565672422815,0.5058479532163743,0.3768996960486322,0.6514565724378086,0.6070321694367355,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 5}",0.6438356164383562,0.858321870701513,0.5490196078431373,0.6296296296296297,0.670201681153159,0.609456571862529,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 5}"
60_30_8,0.8976503385105535,0.9074655713940565,0.6106870229007633,0.6109510086455331,0.7566884853627267,0.5858566377012873,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 5}",0.8783120706575073,0.8808699950568462,0.41935483870967744,0.5301837270341208,0.677180157864538,0.6493231410240956,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.7244960293219305,0.5353075170842825,0.37058823529411766,0.5086705202312138,0.5347655754828862,0.6386972637012333,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.871252204585538,0.8860325621251072,0.47537473233404715,0.4233576642335767,0.6640042908195672,0.6226736872977633,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.0,0.661320502539428,0.5774058577405857,0.502415458937198,0.4352854548043029,0.7111508421313095,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.9630573248407643,0.9460154241645244,0.4862385321100917,0.5602836879432624,0.7388987422646607,0.6476890419057644,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.9398331137461572,0.8991282689912827,0.3870967741935483,0.37869822485207105,0.6511890954457649,0.6507620490758264,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9376193507320179,0.9008797653958945,0.5281173594132029,0.34366197183098585,0.6775696118430253,0.6313445181022409,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.772845953002611,0.8891509433962265,0.7142857142857144,0.6885245901639344,0.7662018002121216,0.6531097907841407,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}"
60_90_0,0.953416149068323,0.9236947791164659,0.6458333333333334,0.6571428571428571,0.7950217796652448,0.5556003795628925,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.876984126984127,0.8588709677419355,0.6000000000000001,0.6444444444444444,0.7450748847926267,0.6030651183933826,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.6742081447963801,0.4577114427860696,0.031746031746031744,0.45762711864406785,0.4053231844931373,0.6190726892209105,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}",0.663013698630137,0.4750593824228028,0.18181818181818182,0.5619834710743802,0.4704686834863755,0.6177859108562003,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.0,0.6538049303322615,0.4444444444444445,0.0,0.2745623436941765,0.6817990939987649,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9518987341772153,0.9295039164490861,0.7457627118644068,0.6938775510204083,0.8302607283777792,0.5526847103779926,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 5}",0.9023941068139963,0.859038142620232,0.2413793103448276,0.1111111111111111,0.5284806677225418,0.6367786240007818,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.938722294654498,0.9084423305588586,0.6185567010309277,0.5060240963855421,0.7429363556574566,0.5881549062589475,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}",0.6741573033707866,0.830188679245283,0.625,0.5333333333333333,0.6656698289873507,0.6283507330892196,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}"
5_5_4,0.8889409559512652,0.9070889894419305,0.6429629629629631,0.6991869918699187,0.7845449750565193,0.5889328432525457,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.8829850746268657,0.8665247795682578,0.5070422535211269,0.5310015898251191,0.6968884243853424,0.6432582659676855,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.7094202898550724,0.576271186440678,0.26746506986027946,0.519774011299435,0.5182326393638662,0.6276977817282335,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.7872899159663864,0.812114714553739,0.4212076583210604,0.5390243902439025,0.639909169771272,0.6368397794889609,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.0010319917440660476,0.6607929515418502,0.5090180360721444,0.2481203007518797,0.35474082002748514,0.7048118663181988,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 5}",0.9467592592592593,0.9119872560732777,0.5794871794871794,0.6283367556468172,0.7666426126166335,0.6439389234098557,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.8439238653001464,0.84546553808948,0.38876889848812096,0.4159544159544159,0.6235281794580408,0.6488170219141592,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}",0.8884509262908946,0.8666549851060102,0.6242603550295859,0.44844517184942717,0.7069528595689795,0.6264915309091872,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 5}",0.6360544217687075,0.8457780879274249,0.5920000000000001,0.653061224489796,0.6817234335464821,0.6447569760250924,"{'min_samples_split': 2, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 5}"
30_45_23,0.9137148047229792,0.9098128190584233,0.6219512195121952,0.6470588235294118,0.7731344167057523,0.5598737798342669,"{'min_samples_split': 2, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.8773903262092239,0.8778801843317972,0.6363636363636364,0.658682634730539,0.762579195408799,0.636468686452332,"{'min_samples_split': 2, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}",0.7019867549668874,0.4945652173913044,0.1565217391304348,0.5533980582524272,0.47661794243526345,0.625731619594738,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.6499620349278664,0.39477503628447025,0.296875,0.5283018867924528,0.4674784895011974,0.6359011922690724,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 5}",0.0,0.6571250777846919,0.47058823529411764,0.0,0.2819283282697024,0.7209586195743647,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9516837481698391,0.9390787518573552,0.7722772277227722,0.7578947368421053,0.855233616148018,0.622467997884033,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9326530612244898,0.8916586768935761,0.4186046511627907,0.31746031746031744,0.6400941766852934,0.6380848850682428,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9352196574832465,0.9029593943565039,0.64,0.5766871165644172,0.7637165421010419,0.6297337039985407,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.736196319018405,0.8795518207282913,0.5454545454545455,0.689655172413793,0.7127144644037587,0.6526569830028124,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}"
5_5_0,0.8839390386869872,0.9037593984962407,0.6323529411764707,0.689075630252101,0.7772817521529499,0.5623297928676197,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.8655834564254062,0.8562783661119516,0.47863247863247865,0.49557522123893805,0.6740173806021936,0.6182500144982765,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.66893039049236,0.5338078291814946,0.16494845360824742,0.42176870748299317,0.44736384519127387,0.6053048450627798,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.7301587301587301,0.7046153846153846,0.3913043478260869,0.4782608695652173,0.5760848330413547,0.6124686885779692,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.0,0.6568144499178982,0.5283018867924528,0.28070175438596495,0.366454522774079,0.6843978864909374,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.9447619047619048,0.9148514851485149,0.5952380952380952,0.6341463414634146,0.7722494566529824,0.6267564416035013,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}",0.8242245199409157,0.8253223915592027,0.3529411764705882,0.4067796610169491,0.6023169372469139,0.6260283377941993,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.8873379860418744,0.8578811369509044,0.6618705035971223,0.3783783783783784,0.6963670012420698,0.6136305324708875,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.6218487394957983,0.8532423208191126,0.631578947368421,0.7368421052631577,0.7108780282366223,0.6010761211861321,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 5}"
30_30_8,0.9227941176470589,0.9188275084554678,0.6666666666666667,0.6901408450704225,0.7996072844599039,0.5874170945942855,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.8747203579418344,0.865909090909091,0.5,0.6533333333333333,0.7234906955460647,0.6148944913047808,"{'min_samples_split': 2, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.7044198895027625,0.5066666666666667,0.2748091603053435,0.5327102803738318,0.5046514992121511,0.6403711281687544,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}",0.7278969957081545,0.6544117647058822,0.3552631578947369,0.5581395348837209,0.5739278632981236,0.640970385723446,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.0,0.6531365313653136,0.39639639639639634,0.03636363636363636,0.27147414103133655,0.6807980705858732,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 5}",0.9562682215743441,0.9411764705882354,0.7209302325581395,0.7647058823529411,0.845770201768415,0.620985296993937,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9297520661157024,0.8827454718779791,0.4042553191489362,0.2950819672131148,0.6279587060889331,0.6407632702858287,"{'min_samples_split': 2, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9353159851301114,0.8972602739726028,0.6242774566473988,0.47435897435897434,0.7328031725272719,0.631897040729914,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}",0.717948717948718,0.8719346049046321,0.6206896551724138,0.8000000000000002,0.752643244506441,0.6361604764390042,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}"
60_90_68,0.9054054054054054,0.9135148157070585,0.6562500000000001,0.7387387387387387,0.8034772399628006,0.599573406527074,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.8877952755905512,0.889106967615309,0.6807017543859649,0.690537084398977,0.7870352704977005,0.6581955242586272,"{'min_samples_split': 4, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 1}",0.7069271758436945,0.5065710872162484,0.25352112676056343,0.5412186379928317,0.5020595069533345,0.6513464490551187,"{'min_samples_split': 2, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.696078431372549,0.5479609419873636,0.4438502673796791,0.6123260437375745,0.5750539211192915,0.6583312829383129,"{'min_samples_split': 6, 'n_estimators': 100, 'criterion': 'gini', 'min_samples_leaf': 5}",0.0,0.6593110871905274,0.4970760233918129,0.0,0.28909677764558506,0.759974995707396,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9600507292327202,0.9487836107554418,0.7886178861788619,0.7932489451476793,0.8726752928286758,0.6566229039659502,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.9226666666666669,0.8857615894039734,0.4223107569721116,0.2684563758389262,0.6247988472204196,0.6775157892477993,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}",0.9428934010152284,0.9086581374590896,0.6779661016949152,0.5751295336787565,0.7761617934619975,0.6464773422421264,"{'min_samples_split': 6, 'n_estimators': 200, 'criterion': 'entropy', 'min_samples_leaf': 1}",0.7049180327868853,0.863961813842482,0.7179487179487178,0.6486486486486486,0.7338693033066835,0.674263062046316,"{'min_samples_split': 4, 'n_estimators': 200, 'criterion': 'gini', 'min_samples_leaf': 1}"
