comb,f1-0,f1-1,f1-2,f1-2,macro f1,micro f1
30_15_4,0.7307320822570169,0.7794481557141,0.42382548399412956,0.41328736907813224,0.5868232727608447,0.7374633360966537
10_5_1,0.7147002499488286,0.7834305939740379,0.4241633292735634,0.3758458179826045,0.5745349977947586,0.7274122130568073
5_3_2,0.6842517329107823,0.7805957926291135,0.39881306687047413,0.3511750132194045,0.5537089014074436,0.708392774781535
60_30_8,0.7173790040261249,0.7735627645948037,0.3868803944730249,0.3919755638027616,0.5674494317241788,0.7234083513707916
60_90_0,0.7129820796945265,0.739549863458977,0.4118775940516234,0.41104942480202217,0.5688647405017873,0.7195134523161894
5_5_4,0.7144738862719132,0.7907586812957726,0.4457085642594152,0.42615966667677696,0.5942751996259695,0.7327976610620903
30_45_23,0.715963589435069,0.7471579627213,0.4593034737307474,0.42974087314125786,0.5880414747570935,0.7263756652525043
5_5_0,0.7031778789554277,0.7571597280884171,0.4396356258676413,0.44338254205252947,0.5858389437410039,0.7182953813417696
30_30_8,0.7249431979627753,0.7719538678311235,0.44328662136460945,0.4409004406164787,0.5952710319437468,0.7378573491144114
60_90_68,0.7329553970353926,0.7699845306921618,0.5150353505874679,0.47863620734603135,0.6241528714152632,0.7486833391102632
50_100_75,0.7343980130936769,0.7613295167363844,0.46753297397559546,0.4876374097567473,0.612724478390601,0.7444139894755253
30_30_15,0.7234952648199836,0.7567711733457795,0.480415896176525,0.46022458255912535,0.6052267292253535,0.7349004474351815
60_120_90,0.7264333637400043,0.7639811962411311,0.5085883137121928,0.49645221423873764,0.6238637719830166,0.7446392974512726
10_10_8,0.7249899180114415,0.7938221926813998,0.4756820466747364,0.4627236050157247,0.6143044405958256,0.7461658910476312
10_20_0,0.7139779417620901,0.7207006494897394,0.3885981804616582,0.39005380535885903,0.5533326442680866,0.7047086147786638
30_15_0,0.6943867603169557,0.7559682081230079,0.39477054333544953,0.38221180545033473,0.5568343293064371,0.6995078301309339
60_30_23,0.7465631044965932,0.8115256025429651,0.4455190313370701,0.43965255849893287,0.6108150742188903,0.758397897020556
50_25_0,0.7248269988732522,0.768510177908182,0.4048433790692902,0.38617552743023,0.5710890208202386,0.7291509985242453
50_25_6,0.7260591852867343,0.7676037063865673,0.42109518384941613,0.408200796979596,0.5807397181255785,0.7297006058639097
30_45_0,0.7064891512179936,0.7407743961510378,0.4664359041635465,0.4084064351745217,0.580526471676775,0.7209445737521543
5_10_8,0.6906063076775205,0.7576051669186888,0.46576494022083575,0.46903625135687776,0.5957531665434808,0.7176153120000259
30_15_11,0.7170890379391877,0.800945013958394,0.4427405578555146,0.43257921967925245,0.5983384573580872,0.7371893938508198
30_60_30,0.6954937637855219,0.7389414611009261,0.4674221561631571,0.45408792112799834,0.5889863255444009,0.7178812009011436
10_5_0,0.7037376906521726,0.7809912964482645,0.4032447344231352,0.3794274580055665,0.5668502948822848,0.7229625620291726
60_60_15,0.7403423078369606,0.7578232909473267,0.4810621211124501,0.4328798534989291,0.6030268933489166,0.7417055108488869
10_10_0,0.7109273007813033,0.7636982510882784,0.43559697005787273,0.40604776172971896,0.5790675709142934,0.7236261829571733
50_100_50,0.7065724443362245,0.7449131186991118,0.4738534354028162,0.42915307730929286,0.5886230189368614,0.7251297190946446
30_60_15,0.7308065053391135,0.7638514500076148,0.48884021252967774,0.47402274373799735,0.6143802279036008,0.74269290340628
60_60_0,0.7297123423258878,0.7636730490112578,0.41954647506446174,0.37136808951085576,0.5710749889781158,0.7337645269273299
10_20_5,0.7082341898630817,0.7345492195782987,0.44969194757222186,0.45443719467338073,0.5867281379217457,0.7197688186503916
5_10_0,0.6951785373969819,0.7351978111802562,0.42844677832146505,0.424827309890203,0.5709126091972264,0.710437860435477
50_75_19,0.7219493223381837,0.7643040830020473,0.45058678484856496,0.4793768245165505,0.6040542536763367,0.7377169520518244
10_15_11,0.717994466432013,0.7648054954725767,0.4791804988050888,0.4638033717043774,0.606445958103514,0.735307883037223
5_3_0,0.6994403749245339,0.7717390223556362,0.37823755971687867,0.34459145414557535,0.548502102785656,0.7040379340230771
30_45_11,0.7248411027855346,0.757391359766402,0.5033221181344383,0.5127422424509145,0.6245742057843224,0.7418007412899343
60_120_0,0.6824203952900796,0.7395319593529766,0.4250359231717642,0.39713472989335064,0.5610307519270427,0.7096792483985774
10_20_10,0.7019569320215848,0.7386085828948098,0.489313680164848,0.45900113942372034,0.5972200836262407,0.7207911763945377
5_10_3,0.6644462257210012,0.7371314289390823,0.38843642415724794,0.44421151549688226,0.5585563985785534,0.7003399904321643
10_15_0,0.7005451546968202,0.7471393269075066,0.4218534943278282,0.398086370141508,0.5669060865184158,0.7134461780851536
10_15_4,0.7254904433502395,0.7581472429098206,0.4252556014752918,0.41688169194911984,0.581443744921118,0.7302060226641898
60_60_45,0.7278177708026182,0.7746987928383057,0.4993344009919769,0.45998200427403607,0.6154582422267343,0.742641369042416
30_60_0,0.7198915881774058,0.7351745380225506,0.432590376082939,0.4072492696649587,0.5737264429869636,0.7231804973885807
10_10_5,0.7163273612605132,0.7661602701371438,0.45884299727216366,0.43467921695863493,0.5940024614071139,0.7278499943739624
50_75_0,0.7203339471198786,0.6981427445997823,0.39628993345767144,0.38556284853631995,0.5500823684284131,0.6932540281268107
30_45_34,0.709155477576185,0.7553892543792834,0.4690403226232908,0.46929453671721455,0.6007198978239933,0.7301680881006792
50_25_13,0.7325942196154793,0.7818621397165636,0.43288021022945805,0.42206949336260213,0.5923515157310257,0.73901491291082
50_50_0,0.721798981803637,0.7509584431926478,0.4462049746287098,0.39677332088564465,0.5789339301276599,0.7264599629281105
10_5_3,0.6935526416637683,0.7848796520993091,0.4157307034426154,0.3861283045512287,0.5700728254392303,0.718140825207382
30_30_22,0.7187680121205621,0.7631450250698828,0.4948026113678616,0.4689567687462372,0.611418104326136,0.7354373857426733
60_90_45,0.7308757817176258,0.7705936312033488,0.4556374329724692,0.4691059366876019,0.6065531956452614,0.7425869074295038
60_30_0,0.730276996941749,0.7658536309843859,0.387467148327226,0.3861354048592694,0.5674332952781576,0.7265257212745078
10_5_4,0.7033423200725712,0.7999317671001791,0.4245512293040173,0.3945924401673555,0.5806044391610308,0.7282152952208375
30_15_8,0.7290946674423844,0.7904304611562448,0.44771528934468513,0.4175044231692471,0.5961862102781403,0.740342480800977
