comb,f1-0,f1-1,f1-2,f1-2,macro f1,micro f1
5_5_3,0.5187179464247257,0.5703200634639517,0.0,0.0,0.27225950247216935,0.5817410812164108
60_90_23,0.7188207257525419,0.5180496980565786,0.006535947712418302,0.0,0.3108515928803847,0.6202993525275184
60_120_60,0.6830848127276041,0.6949201185354288,0.013599891200870393,0.08709558709558711,0.36967510238987256,0.6662610775530345
5_8_4,0.1887237177429021,0.5816393728631308,0.0,0.0,0.19259077265150823,0.48905593174626383
30_45_23,0.48911215017717424,0.5530469565771402,0.0,0.0,0.26053977668857864,0.5541336008332848
30_30_15,0.5995165470032848,0.6018914387510548,0.00966183574879227,0.0,0.302767455375783,0.6095676468062367
5_10_0,0.07131843234501292,0.5534715400007235,0.0,0.0,0.1561974930864341,0.4313542395779082
30_60_0,0.35106117606603177,0.541699238255581,0.0,0.0,0.22319010358040314,0.5042042487106541
60_60_0,0.6119743250488185,0.6416174148991195,0.0,0.0,0.31339793498698454,0.6218212858606145
10_5_4,0.6691964558899076,0.6301961613372589,0.038642763315580704,0.04601211072208982,0.3460118728162092,0.645397776642118
30_15_11,0.7501618564527027,0.7282115207402883,0.056406187784732525,0.06026445379378674,0.39876100469287756,0.7149422494850488
60_90_68,0.7022311440030099,0.6178878657501687,0.13380535310457076,0.2306770869277128,0.42115036244636556,0.6611332185014175
50_75_56,0.6351927757433314,0.7227757584383174,0.12401060129173024,0.1264147352462207,0.4020984676799,0.6690035067618781
30_30_22,0.7216917804927626,0.6802072320938458,0.08312028236873019,0.09919420564625159,0.3960533751503975,0.6889333608576835
30_45_11,0.3249216567957618,0.5586018147801983,0.0,0.0,0.22088086789399003,0.5163606799164585
10_5_0,0.39802540978477824,0.5962626794501433,0.0,0.0,0.2485720223087304,0.5448049078386276
60_30_15,0.6142556921130384,0.623513549891551,0.09080349491545071,0.08878099035614093,0.35433843181904523,0.6324238091483145
30_30_8,0.3928855571026252,0.549521172263089,0.0,0.0,0.2356016823414286,0.5245669969179
10_10_0,0.36745415814059634,0.545798100155251,0.0,0.0,0.22831306457396178,0.5253065320724278
50_50_38,0.5786407081540987,0.6405716967469047,0.04448645298128417,0.027417520254366105,0.3227790945341635,0.6181380940362557
60_120_90,0.718469273105659,0.6857732601312988,0.009768009768009768,0.22977847201139237,0.41094725375409,0.6965806086410233
50_100_25,0.36552825301631875,0.5202517443537087,0.0,0.0,0.22144499934250683,0.5145297043952805
5_3_0,0.3633666612526861,0.6236897867416995,0.0,0.0,0.24676411199859638,0.5433986004200172
10_15_8,0.5250901803419189,0.5981670684301714,0.0,0.0,0.28081431219302266,0.5839405670664587
10_15_4,0.3794419382987908,0.6307908100668613,0.0,0.0,0.25255818709141303,0.5679392451580711
60_30_8,0.7505344627373444,0.7433873974514964,0.01170365158528145,0.008505979544327627,0.3785328728296125,0.7224965774035182
30_15_4,0.596358682328876,0.5903241134377396,0.0,0.0,0.29667069894165393,0.5896533863694591
10_10_8,0.6281423166078656,0.6571153585742616,0.0,0.005284024181661976,0.32263542484094737,0.644165682251653
5_10_8,0.3835562650077194,0.49716603050454533,0.0,0.0,0.22018057387806617,0.49177368387971154
30_45_0,0.4160041186780205,0.5346036987313479,0.0,0.0,0.23765195435234215,0.5333130952350934
50_25_0,0.4925387917331698,0.6417614245103551,0.0,0.0,0.28357505406088124,0.5960311899758465
60_60_30,0.6368810131746736,0.6701462891737336,0.1020263041199849,0.1336188796506257,0.38566812152975444,0.6566232585217477
10_5_3,0.5866711796899858,0.6774500476768992,0.0005433306166802499,0.009370816599732261,0.31850884364582444,0.6356408322905359
50_75_38,0.7334197622630296,0.5125482282747048,0.0,0.004006904755516202,0.31249372382331264,0.6105530258203447
50_25_13,0.6314675503115585,0.6217352175459756,0.0494882319788035,0.06505242575036625,0.341935856396676,0.6380384838223891
10_10_3,0.28490244827007977,0.5691888049087459,0.0,0.0,0.2135228132947064,0.5014318789666734
5_5_4,0.5119027488164934,0.6556236168251538,0.0035842293906810036,0.025830959164292497,0.2992353885491552,0.6079419352504194
60_120_0,0.3001863259095454,0.5142537933732134,0.0,0.027777777777777776,0.21055447426513413,0.49008081380237756
5_10_5,0.3100934682350321,0.4910629530730623,0.0,0.0,0.2002891053270236,0.4856129646403601
30_60_15,0.4619507813509754,0.721847856826769,0.0,0.0,0.29594965954443614,0.6188612703036522
50_75_19,0.5189717970962303,0.6472014845642701,0.0,0.0,0.2915433204151251,0.6157652791151899
30_15_0,0.5616155542932362,0.47927925412782396,0.0,0.0,0.2602237021052651,0.5587286915559128
10_20_0,0.04373787939798938,0.6279724118484273,0.0,0.0,0.16792757281160417,0.46217203815558894
10_15_0,0.2561650966139324,0.6222390855127684,0.0,0.0,0.21960104553167525,0.525112656730537
10_10_5,0.29422342832793535,0.6473485541011946,0.0,0.0,0.2353929956072825,0.5407998986897918
