comb,f1-0,f1-1,f1-2,f1-2,macro f1,micro f1
30_15_4,0.6158720478222856,0.7779651425599747,0.45276478765225925,0.3683633142934996,0.5537413230820047,0.7059241969961743
10_5_1,0.6169276626354737,0.7724212763610893,0.43480646975225945,0.3336112235707768,0.5394416580798997,0.6985081404996549
5_3_2,0.6121338222585654,0.7644466510060595,0.41850395901937254,0.360183004280615,0.5388168591411531,0.6907133624216872
60_30_8,0.5899432453694394,0.7700914983491275,0.4639801834458186,0.342220887591782,0.5415589536890419,0.6953485806790538
60_90_0,0.6342154428533324,0.7538952515630447,0.20025596917944388,0.13479048487074496,0.4307892871166415,0.6841549001360776
5_5_4,0.6133697973687626,0.7674376929933101,0.41946099312310386,0.36833059960318937,0.5421497707720914,0.6926094035438619
30_45_23,0.6298084978176549,0.7655782163578644,0.3695089082105984,0.27107184511658605,0.508991866875676,0.6937592938083469
5_5_0,0.6133298148536425,0.7615369828786885,0.3660491233011323,0.2995227876705593,0.5101096771760056,0.6842966867049171
30_30_8,0.6048428826357661,0.7661713685639311,0.3574203321079915,0.2777174819274297,0.5015380163087796,0.6914816089669766
60_90_68,0.5871629661893302,0.7619518496300891,0.43247908186958894,0.31854759348472445,0.5250353727934332,0.6882790309904498
50_100_75,0.6137122556907925,0.7573034257391646,0.38067474612927166,0.292599262253585,0.5110724224532035,0.6849893902251311
30_30_15,0.6087737901766297,0.7716736976737588,0.4275805110068278,0.2808496296093319,0.5222194071166371,0.698719962346773
60_120_90,0.6312084932473806,0.7598184065718515,0.3805379531684999,0.254802492288173,0.5065918363189762,0.691675272961693
10_10_8,0.611639835674971,0.7737051054371797,0.46922903773430646,0.392592258437567,0.5617915593210061,0.701877740515063
10_20_0,0.675973009633339,0.757983544502592,0.32155696324084093,0.18658287468377105,0.4855240980151357,0.6935592685954114
30_15_0,0.6193706220522276,0.7748504885083457,0.4580187064770149,0.30398404708370946,0.5390559660303245,0.7043102024170913
60_30_23,0.5482981404628994,0.7704801196713347,0.5139653291440761,0.4144729351422425,0.5618041311051383,0.6914928424516839
50_25_0,0.5758153610731013,0.7647700261804685,0.44112367319563206,0.3137836280266725,0.5238731721189686,0.6865550175915438
50_25_6,0.5882636466888671,0.7731766773846398,0.4577346262278824,0.3466476400337154,0.5414556475837761,0.6946506360736002
30_45_0,0.6707436755562174,0.7714398071218758,0.25881470415721647,0.134782652707181,0.4589452098856226,0.7026747163393997
5_10_8,0.6140945826637212,0.751414178906398,0.3832182427144848,0.3981098898306482,0.536709223528813,0.6799353319531191
30_15_11,0.6064927547151258,0.7818862348770153,0.5119553128253836,0.38797296021122935,0.5720768156571885,0.7084151824660176
30_60_30,0.6037721903118131,0.7567528886462003,0.3057033429864834,0.2165576423215838,0.4706965160665202,0.676816640319018
10_5_0,0.6252836203321015,0.7710308198738749,0.3972322022354695,0.3369605498074605,0.5326267980622266,0.6997119267763952
60_60_15,0.5687003537376053,0.7521396822069489,0.38676571187591136,0.21576383815106634,0.48084239649288296,0.6753949056040944
10_10_0,0.6129156711977494,0.7642619925974912,0.38158594397284057,0.30257629255079804,0.5153349750797198,0.6899697706280645
50_100_50,0.5928004631742484,0.7465182920426445,0.3207337244991163,0.18311500767490246,0.46079187184772796,0.6662323349936754
30_60_15,0.6037282315986872,0.7592219530927281,0.2934907179399852,0.16994815806899777,0.4565972651750995,0.6775554109384042
60_60_0,0.5623686177426367,0.752333150840887,0.33267207345915134,0.18209847228686987,0.4573680785823862,0.6724020881497111
10_20_5,0.6123924909871286,0.7482066562371261,0.3384673113301537,0.25294380540625117,0.4880025659901648,0.6745126407482638
5_10_0,0.6794697995145844,0.7462169117665209,0.29762108295330264,0.2577645571829312,0.49526808785433485,0.6887723453134303
50_75_19,0.6037399039444522,0.7536719659358095,0.36553362030309877,0.2067895166437359,0.4824337517067741,0.6818764802305195
10_15_11,0.6331668018677843,0.7700377776626127,0.4181168258253974,0.39488027523608804,0.5540504201479707,0.7001139437455186
5_3_0,0.6155929383322685,0.7545450207930637,0.3718633471302565,0.3611743769788272,0.525793920808604,0.6854396755965633
30_45_11,0.6087501664327573,0.754200411222365,0.29561772245014195,0.24811820807429374,0.4766716270448895,0.6800183714555054
60_120_0,0.5656794074179583,0.73532343532117,0.2286484675216228,0.12420172892277265,0.41346325979588094,0.6539099651185117
10_20_10,0.6225391870049976,0.7543405460432756,0.3930355252478541,0.3294563646482457,0.5248429057360933,0.6836911330512897
5_10_3,0.6022624964533325,0.7338481599240896,0.2897933273960047,0.2604488211383266,0.47158820122793826,0.6606311680613083
10_15_0,0.6546712216875403,0.7599275155856153,0.3206702258475262,0.2804998456371922,0.5039422021894686,0.692194443118999
10_15_4,0.6587733606225599,0.7632257897506514,0.36423789094652825,0.29438486334033565,0.5201554761650188,0.7009884578080678
60_60_45,0.5538459940909702,0.763084365607832,0.4917076790799274,0.3538192372990539,0.5406143190194458,0.6870315501480775
30_60_0,0.5963803512429914,0.746403129602569,0.21674139289693217,0.12942975658798597,0.4222386575826197,0.6660106972877572
10_10_5,0.6132236471474634,0.7721158847379779,0.4155860875718448,0.3233144689314291,0.5310600220971788,0.6960054070821063
50_75_0,0.6101863478983893,0.7448826703751128,0.20808560346761798,0.14929797031817513,0.42811314801482375,0.6696828690173958
30_45_34,0.6245547403247645,0.7733025482987245,0.4292282694110087,0.31445066639153785,0.5353840561065089,0.7002705003358838
50_25_13,0.5483570364337151,0.7696542199728502,0.5059249049126517,0.3760734777628184,0.5500024097705088,0.6888433974164975
50_50_0,0.5550031217297131,0.7517115074837993,0.3444468903623984,0.197084568136864,0.46206152192819366,0.6667346560652416
10_5_3,0.6152278626586288,0.7732826247446387,0.4567261380025606,0.39880143986512945,0.5610095163177394,0.7021355100295996
30_30_22,0.6114236031194378,0.7755827057064887,0.4561787950460703,0.34425729107539915,0.5468605987368489,0.7032355964766348
60_90_45,0.5957367197356701,0.7546629539209018,0.366207607088083,0.2441621984444447,0.4901923697972749,0.6810894143926391
60_30_0,0.5753012677191413,0.7685141483995119,0.4414125229793038,0.34036330871865705,0.5313978119541536,0.6895510390658485
10_5_4,0.6158120320127567,0.7765859584079199,0.4642517427572209,0.3988580482948382,0.563876945368184,0.7036999242065223
30_15_8,0.605483622444946,0.7782214250344308,0.48413917736759365,0.3641890553639625,0.5580083200527333,0.7041275487205709
