comb,f1-0,f1-1,f1-2,f1-2,macro f1,micro f1
5_5_3,0.5556543574702747,0.6790079031827485,0.0033003300330033004,0.0,0.30949064767150664,0.6267537852890198
60_90_23,0.2575866606147631,0.6420642792819996,0.08674463937621833,0.0,0.24659889481824526,0.5309490899873033
60_120_60,0.2002356381352669,0.5806765437800273,0.0,0.0,0.19522804547882358,0.501090355345701
5_8_4,0.3318126255244717,0.49036971503943644,0.0,0.0,0.20554558514097704,0.5028334483559995
30_45_23,0.4232927912498398,0.47457281278305863,0.046713501291989666,0.02950819672131148,0.2435218255115499,0.5136448343903051
30_30_15,0.41584328745237775,0.5263942278591864,0.018912529550827426,0.0,0.2402875112155979,0.508744151909028
5_10_0,0.0,0.6263587345141619,0.0,0.0,0.15658968362854048,0.45839377138044124
30_60_0,0.0283493369913123,0.6027761323085346,0.038099111924615285,0.0,0.16730614530611554,0.4335408584936537
60_60_0,0.11764323013575033,0.6599577888722967,0.07153671002591865,0.04091591591591591,0.22251341123747037,0.49885608564840594
10_5_4,0.5195117597123383,0.6141202473754246,0.02658385082704111,0.019322490456605303,0.29488458709285237,0.5781325244524516
30_15_11,0.4412349690812161,0.5634182063800779,0.10411575755743813,0.03570901578869706,0.2861194872018573,0.549518981391558
60_90_68,0.4174449036417264,0.6185488784817534,0.026427718040621266,0.0795999406493648,0.28550536020336653,0.5661314123447801
50_75_56,0.20133121928887754,0.6566034681754223,0.038868240652248295,0.03205128205128205,0.23221355254195755,0.4929255747095815
30_30_22,0.480151869646133,0.48459992280081515,0.0,0.003614478372802755,0.24209156770493775,0.5287227523282634
30_45_11,0.11112689254539933,0.6419124948379493,0.0,0.0,0.18825984684583721,0.4861929297994917
10_5_0,0.6785509021034116,0.6603419226324395,0.01728727185241079,0.0,0.3390450241470655,0.6568527795497187
60_30_15,0.58594407194765,0.6202671289120824,0.029808966059437576,0.08690560261800954,0.33073144238429486,0.6158413740432818
30_30_8,0.3238022074935217,0.5238796608112332,0.04721366884876357,0.04983164983164984,0.2361817967462921,0.5112960706002342
10_10_0,0.25520068636754123,0.6570672919648481,0.0,0.0,0.22806699458309737,0.5354525586756722
50_50_38,0.6231259577810733,0.6268998100492246,0.030416450382026974,0.0697331609167358,0.3375438447822651,0.6378294781908245
60_120_90,0.398657434620289,0.5971487613418776,0.0,0.0,0.2489515489905416,0.545778843287668
50_100_25,0.0414908472959637,0.6299373332300706,0.004444444444444444,0.008230452674897118,0.171025769411344,0.4626075068188483
5_3_0,0.42357951464803395,0.6312524522048344,0.0,0.0013976240391334732,0.2640573977230004,0.5744845580604179
10_15_8,0.24557375686862482,0.5148817090661355,0.0,0.0,0.19011386648369008,0.4856803204851709
10_15_4,0.34945222534542664,0.6238602154369631,0.0,0.0,0.2433281101955974,0.5611952691111418
