comb,f1-0,f1-1,f1-2,f1-3,macro f1,micro f1
30_15_4,0.4463454098098583,0.5968166091639018,0.3635178906611379,0.3697936011750319,0.44411837770248247,0.583650568404783
10_5_1,0.3432450185511314,0.6440971409262162,0.3226576884288274,0.3269080039215568,0.4092269629569329,0.5620081260617394
5_3_2,0.4129892361000391,0.6192892640843501,0.293902505525843,0.3109462737890098,0.4092818198748105,0.5691739159527472
60_30_8,0.6156373507026847,0.6338941385819011,0.36425378730504454,0.32977948013155567,0.48589118918029645,0.6514264235353608
60_90_0,0.27622497149743674,0.5987734172572657,0.4449886323033066,0.26788662977634525,0.3969684127085886,0.5238541743913853
5_5_4,0.3011150421694076,0.6745669869182601,0.33993484613795033,0.29219891801570236,0.4019539483103301,0.5572960276027721
30_45_23,0.3628005627413045,0.5119395383070944,0.4151113181859653,0.18098602907327824,0.3677093620769106,0.4960099081872329
5_5_0,0.31979889316589677,0.6673283183339497,0.3267440825168353,0.25943393939636805,0.39332630835326243,0.5579007036253633
30_30_8,0.2925029557418416,0.6211014677129119,0.39532305099983894,0.2393240776596269,0.38706288802855476,0.5349193467546535
60_90_68,0.3964934403099412,0.5274966696568141,0.42057099558512323,0.24314202850321204,0.3969257835137726,0.5214817510647826
50_100_75,0.455193919753109,0.5346382113382959,0.4376323647055402,0.33060793152652657,0.4395181068308679,0.5403242711800464
30_30_15,0.36420645728845136,0.574276341759089,0.39892997830979304,0.23201717179284945,0.3923574872875457,0.5365863197823268
60_120_90,0.3920522069410708,0.5201883669109417,0.44774750838035593,0.2787122082449691,0.40967507261933434,0.5141494036904339
10_10_8,0.35341078731055536,0.590427688042334,0.39034113962784667,0.2941927558523486,0.4070930927082712,0.5478583223962848
10_20_0,0.428336427773482,0.534648539272819,0.43086420548816606,0.18273806069033177,0.3941468083061997,0.517468026735743
30_15_0,0.6020803019888015,0.6360089157991645,0.36357381968968566,0.36562765881162673,0.4918226740723196,0.6460035704718947
60_30_23,0.5652683545733266,0.6223645752368955,0.3522630855531499,0.3063308350019396,0.4615567125913279,0.6293907866894104
50_25_0,0.6082926836953743,0.6332201239735553,0.3401280821426475,0.34667360794633173,0.48207862443947724,0.6462852417562109
50_25_6,0.5845695537345269,0.6274561858549373,0.3506566076181633,0.34358962866807263,0.476567993968925,0.6389472924630177
30_45_0,0.5335745899230591,0.5509768704635467,0.4603389352535643,0.2378387311411683,0.4456822816953346,0.5665496947586333
5_10_8,0.32438337733522316,0.5733888519990402,0.4032356154906251,0.23974257460312554,0.3851876048570035,0.5081596936750532
30_15_11,0.4629281543202394,0.5986388337535485,0.3722698970577618,0.36402638323388037,0.44946581709135747,0.5913108342071544
