comb,f1-0,f1-1,f1-2,f1-3,macro f1,micro f1
30_15_4,0.666388288177011,0.7365266491483681,0.3563121743198753,0.32786971792203046,0.5217742073918212,0.6770421904325724
10_5_1,0.6400501197591016,0.7383163741483298,0.29323887145533933,0.28086432541102474,0.48811742269344893,0.6563945435060808
5_3_2,0.6299492765534699,0.719798239627521,0.3151021089435069,0.30690502503699435,0.49293866254037305,0.6387156785747208
60_30_8,0.6844369829979348,0.7415426508717325,0.32835722353516617,0.2992172090852666,0.513388516622525,0.6732520276720476
60_90_0,0.6783238488682871,0.7524567470182745,0.3683835679281912,0.3449546465653556,0.5360297025950271,0.6914866961488959
5_5_4,0.6604863812035556,0.7458088334691642,0.3696870160644223,0.35905247345645486,0.5337586760483991,0.6740318049437702
30_45_23,0.6661408196283519,0.7266375299064468,0.3516510131887218,0.340923935286529,0.5213383245025125,0.6732426921908545
5_5_0,0.6455838584388454,0.7369660298066947,0.34926786042359886,0.3602098294882628,0.5230068945393505,0.6640107525145491
30_30_8,0.6274544858767517,0.741630799732061,0.3172871475117758,0.366401727538819,0.5131935401648519,0.6544894903759488
60_90_68,0.6442830906912711,0.7313025036539104,0.36988637682808273,0.3273381313841343,0.5182025256393495,0.6618352686834812
50_100_75,0.6811372084641941,0.7128757201928115,0.3518418930625258,0.393196636951463,0.5347628646677486,0.6701032430652551
30_30_15,0.639883097396955,0.7170147847414017,0.3665682912891802,0.3043972018725053,0.5069658438250105,0.6526259192506098
60_120_90,0.6789081250701738,0.7154520616835689,0.36610210361223666,0.3893658616444269,0.5374570380026016,0.6702350658306786
10_10_8,0.6602946385136852,0.7613731838680011,0.36765368931317677,0.35407461631461584,0.5358490320023699,0.6827301447969452
10_20_0,0.6950120830877923,0.7310144045757281,0.31559433205442144,0.3526039189430886,0.5235561846652576,0.6763062419529212
30_15_0,0.6957027989164896,0.7507156351101706,0.33353574923196366,0.3184685271919753,0.5246056776126498,0.6785467175065332
60_30_23,0.6812286337146357,0.754747984251059,0.3438071967311316,0.3150802581693874,0.5237160182165534,0.6782135129768126
50_25_0,0.6427608732618664,0.7185521824542859,0.2607492899995735,0.31250794250828623,0.48364257205600303,0.6394885837178808
50_25_6,0.6734218814459592,0.7460604859779978,0.30173863691320607,0.3058328652902476,0.5067634674068526,0.6634772312995445
30_45_0,0.6819492889333146,0.7007834855309658,0.2940001599139245,0.29046785671242353,0.49180019777265715,0.650475593129705
5_10_8,0.6821367203816887,0.7463067594210813,0.37732229025135333,0.38440942801444006,0.5475437995171408,0.6898538147414023
30_15_11,0.682685219024858,0.7563587853857159,0.33649642521108397,0.32300935364658695,0.5246374458170613,0.6783988502591067
30_60_30,0.6686639658441957,0.7092206809184038,0.3777379161340824,0.3621684206686452,0.5294477458913318,0.6663882570684563
10_5_0,0.6574670625712014,0.7507791001983262,0.2798970599078425,0.3164690572278267,0.5011530699762992,0.6619539184714852
60_60_15,0.6303216212556458,0.6994222673809966,0.336993005845938,0.310009008422047,0.49418647572615687,0.6284842352700911
10_10_0,0.6765350672037989,0.7381266744239285,0.33389059621494954,0.32917379437105626,0.5194315330534334,0.6697820908456183
50_100_50,0.6570684309060079,0.7328409343863274,0.3548626345501892,0.4095940976668084,0.5385915243773332,0.6728449457388715
30_60_15,0.6627305854897069,0.7384350301541418,0.3610717670833557,0.37341999353523,0.5339143440656087,0.6652668319928007
60_60_0,0.6431319015486592,0.74485961188972,0.3731025830390118,0.33256766304013125,0.5234154398793806,0.6791226520574714
10_20_5,0.6790824465701382,0.7077681330398655,0.3714956401516556,0.3611357530570716,0.5298704932046827,0.6721633513517723
5_10_0,0.5957772487738597,0.6783025204560414,0.372773859036995,0.3473486136323356,0.498550560474808,0.6264136673534579
50_75_19,0.6886694107687759,0.7259421083772437,0.3566046878283773,0.36471743000755624,0.5339834092454884,0.6721490789020925
10_15_11,0.6471546550729222,0.746279593603048,0.38469411764153244,0.34436703270085706,0.5306238497545901,0.6722517474419475
5_3_0,0.6361403368648939,0.7351589588819869,0.3053541757554352,0.3079651393694517,0.49615465271794196,0.6531885639961633
30_45_11,0.6621396942859905,0.722989348319778,0.3943786564817986,0.41949362366029036,0.5497503306869642,0.682914662049703
60_120_0,0.6868197320513744,0.7386456376425952,0.34078571633919075,0.31970796348812114,0.5214897623803204,0.6802994798225169
10_20_10,0.7036727881192051,0.7510611577895333,0.39847905806103623,0.38063536359399003,0.5584620918909411,0.6984426919346663
5_10_3,0.6368679492433188,0.7184595910170479,0.3017525406106459,0.3376565364844091,0.4986841543388555,0.6447513051717674
10_15_0,0.6406483030317522,0.7350282917885383,0.34379756983327353,0.36310364388575556,0.5206444521348299,0.666979554072811
10_15_4,0.6805221001400494,0.6991649315209068,0.3094679549905656,0.31925651902833846,0.502102876419965,0.6538251160467689
60_60_45,0.6612116856921421,0.7473441797636162,0.34959007536196574,0.34130639936826024,0.5248630850464961,0.6678215253110731
30_60_0,0.6096943262250493,0.6876484733108287,0.3726738858775516,0.3669321233208854,0.5092372021835787,0.6402227539804302
10_10_5,0.6831158068316439,0.7402942859778109,0.3312438330109881,0.3185590699828011,0.518303248950811,0.67680508711658
50_75_0,0.6486411744567263,0.6730970675517985,0.30310183144294306,0.2923933005545063,0.47930834350149354,0.6227374853365344
30_45_34,0.6685196081493593,0.7461191811652175,0.37393166157036584,0.36359519865043416,0.5380414123838442,0.6765636005894744
50_25_13,0.6815046982306346,0.7545707555296138,0.33159120098948874,0.3329640190170552,0.5251576684416981,0.6805882235866186
50_50_0,0.6811736460719586,0.7314174751423718,0.3399541670648359,0.34395693298870117,0.5241255553169668,0.6801899720741735
10_5_3,0.6386204373014893,0.746185620778713,0.32359959999015886,0.283660410609168,0.4980165171698823,0.6517802220255484
30_30_22,0.6654322880459572,0.7312015957631225,0.35148026985812947,0.33719466644259455,0.5213272050274509,0.6611974158325317
60_90_45,0.6861378131625921,0.7501745989700055,0.34863901600124314,0.34960119383147625,0.5336381554913293,0.6901992590748249
60_30_0,0.657582914766945,0.7441586780754883,0.31146701152711825,0.27656362236469145,0.4974430566835607,0.6571998437352299
10_5_4,0.6816088708992166,0.7492393469724594,0.34614374314375945,0.3080707961378923,0.521265689288332,0.6760159409342805
30_15_8,0.6922475735261187,0.7677388880370225,0.34649343996822685,0.3547641364492342,0.5403110094951505,0.695176544424164
60_30_15,0.6592837739629984,0.731397448311094,0.33554908048954996,0.30163592775477643,0.5069665576296047,0.6534882540678807
60_120_60,0.688580879983201,0.7145497311368703,0.355313419918894,0.3623822478173555,0.5302065697140802,0.6793222215091116
50_25_19,0.6753687210483943,0.7598595501602285,0.33655579292136606,0.34041430341044837,0.5280495918851094,0.6816091399768217
5_8_0,0.641973546005245,0.7206526313029455,0.36691473543946324,0.33719843319381976,0.5166848364853682,0.6579954013939128
5_5_1,0.6336569578764806,0.7444806871778401,0.31084555539551983,0.2913168603241689,0.4950750151935024,0.657502130746344
50_100_0,0.6698455895093903,0.7019469814315619,0.30506326852362053,0.3323470669808766,0.5023007266113624,0.6525687667915072
10_15_8,0.6522802550855619,0.710887179133157,0.33949127338571905,0.3530148634144359,0.5139183927547185,0.6535212322165811
50_50_13,0.6600513109017256,0.7451415397868804,0.34163278502172395,0.3353845397331323,0.5205525438608656,0.6747033130514679
50_50_25,0.6839775360633867,0.715935605354815,0.3326736830975589,0.3610898905799156,0.5234191787739191,0.6697290424832887
5_8_2,0.6705062343156152,0.6981729294553491,0.3635874623130964,0.3331374132852103,0.5163510098423179,0.6543775548092197
50_75_38,0.6689534176486189,0.7230131722189649,0.3243641128345228,0.3158635813278974,0.5080485710075009,0.6638792925825308
60_120_30,0.6907724664324488,0.7224469879010386,0.3373141129065779,0.36541506778802063,0.5289871587570215,0.6843994774912358
5_10_5,0.6182389913392519,0.7363798688204608,0.33806128951589964,0.35329515870288936,0.5114938270946254,0.6536194940427253
10_10_3,0.6633232306399514,0.7411936163433422,0.32871449496525174,0.2995050363543361,0.5081840945757204,0.671817440358687
5_3_1,0.6202874758569132,0.7254400091517037,0.27659292755663595,0.28421631228155664,0.4766341812117024,0.6377731999259191
