comb,f1-0,f1-1,f1-2,f1-3,macro f1,micro f1
30_15_4,0.7187630956492967,0.7827616257384719,0.41304246188510896,0.41163449089204385,0.5815504185412305,0.7329276244128091
10_5_1,0.6986579113425283,0.7718520354003092,0.41073807573809884,0.36412407857452406,0.5613430252638651,0.7185218844431192
5_3_2,0.6682274230500459,0.7667667102153055,0.43906780402232515,0.3865832120122639,0.565161287324985,0.7056816524431822
60_30_8,0.7215545270607717,0.7953469742107255,0.464219379013415,0.40386329162148876,0.5962460429766003,0.7420380516543185
60_90_0,0.7192807198886331,0.7488675937527226,0.38614872027062996,0.40040891146501706,0.5636764863442507,0.721388988406696
5_5_4,0.6563152239737997,0.7590005811117959,0.4278286508159054,0.41202181307611047,0.5637915672444029,0.7005665322552198
30_45_23,0.7233435964137781,0.7743536943348033,0.42892338920340906,0.4457574625461212,0.593094535624528,0.7380861871176642
5_5_0,0.6920353609661078,0.750503175500079,0.41206521759805986,0.42970039548761285,0.5710760373879649,0.711066442689409
30_30_8,0.7196209119674054,0.7660226448738515,0.40586588169058924,0.4116530176991006,0.5757906140577367,0.7295791171032077
60_90_68,0.715593910983708,0.769483798229878,0.4784491275042187,0.47688790355115107,0.6101036850672389,0.7379849393781153
50_100_75,0.7393921496160477,0.7840354696929045,0.4430586523890464,0.4813915183316838,0.6119694475074207,0.7511081653532992
30_30_15,0.7196576331068394,0.7741462730516999,0.4536646819544343,0.4361885977145896,0.5959142964568908,0.7378748868204459
60_120_90,0.7232304060514005,0.7718779196235528,0.43801363940297866,0.48375212750508534,0.6042185231457543,0.7388647414025322
10_10_8,0.7130278134589099,0.7841962193306355,0.48513437151568195,0.44717783223902074,0.6073840591360621,0.7376504927928731
10_20_0,0.6769612895518979,0.7210251967588788,0.4063857398531273,0.36079571560120755,0.5412919854412779,0.6936955073045223
30_15_0,0.7230903913828626,0.7774439065252507,0.42478012338007726,0.41042407345609505,0.5839346236860714,0.7320597819140899
60_30_23,0.7183029175892801,0.7954193099845213,0.4971747498876222,0.4376389371584033,0.6121339786549567,0.7454920598258463
50_25_0,0.7308189832624913,0.7909731688054192,0.40619505458365274,0.408471516180086,0.5841146807079124,0.7428263031152607
50_25_6,0.711430926761141,0.7723855661705342,0.4664112625530039,0.4343887576670641,0.5961541282879357,0.7309332484686859
30_45_0,0.6876392164458118,0.7376122600680266,0.3947483184162582,0.43417170635604047,0.5635428753215342,0.7097579423112608
5_10_8,0.7115200537821411,0.7669414870091416,0.43761797494067145,0.459158978339963,0.5938096235179793,0.7295416543199137
30_15_11,0.7140658798441893,0.78759340166759,0.4838057181731173,0.4353545216188959,0.6052048803259482,0.7379184195256445
30_60_30,0.7177184842074622,0.7514476431777264,0.40797297614028394,0.45049460962255394,0.5819084282870066,0.7293719361554926
10_5_0,0.6752316462313818,0.7585805337172332,0.3868229669029884,0.38294091461520385,0.5508940153667018,0.7050759510741629
60_60_15,0.7223312450085609,0.7739371379423594,0.4561184837859114,0.4099862944638491,0.5905932903001702,0.7360856678814915
10_10_0,0.6771107017621115,0.7564005531036728,0.44144586575112393,0.39815207095426913,0.5682772978927944,0.7083068627571677
50_100_50,0.7153329698340718,0.7591750177765609,0.4084227755144344,0.4957144049516192,0.5946612920191716,0.729660673346008
30_60_15,0.7365056786884107,0.7584474003774047,0.40121926618752546,0.4407659364964465,0.5842345704374468,0.7355389528007318
60_60_0,0.7303901542676505,0.769852695027621,0.3957044302789971,0.37027229836843345,0.5665548944856755,0.7326098841624777
10_20_5,0.7046766300653835,0.7539130046559082,0.3639084392777651,0.4432537231347363,0.5664379492834483,0.7197913004403013
5_10_0,0.6775302751694623,0.732968828920112,0.4016446667820134,0.4762679792946225,0.5721029375415525,0.7050015939208101
50_75_19,0.713679677538278,0.7751201890877297,0.4177397329933291,0.4261742996735375,0.5831784748232186,0.7329727493410256
10_15_11,0.6997705595797459,0.7706023374265062,0.45165889540556325,0.4612744290469586,0.5958265553646934,0.7272048373988205
5_3_0,0.6669251856559322,0.7428628706425369,0.4073096981072031,0.3964596290096726,0.553389345853836,0.6949128520823479
30_45_11,0.7208308089882853,0.7609856882036602,0.40879543388353806,0.4815477081663428,0.5930399098104567,0.7341056215300763
60_120_0,0.7280659713132266,0.740881994070564,0.37573908565587505,0.3816640343894013,0.5565877713572668,0.7230543193696944
10_20_10,0.7246967153712668,0.7574398934588396,0.37524907559558807,0.42735431548257796,0.5711849999770681,0.7291385897954972
5_10_3,0.6949978499597651,0.7349526393924445,0.33935891249954003,0.4175326346079007,0.5467105091149126,0.7020771186503957
10_15_0,0.6675596371933341,0.7506739113671761,0.3947809259366837,0.3437927059658582,0.5392017951157629,0.703176085532814
10_15_4,0.658060747997543,0.7556260056546298,0.40285428111278626,0.38775639051648486,0.5510743563203611,0.7014491359110967
60_60_45,0.7276735766100123,0.7856025718899156,0.48522536144020123,0.4607700217424382,0.6148178829206419,0.7478708783813972
30_60_0,0.7157458407156152,0.7397662974667693,0.3620068019655783,0.4151268397858338,0.5581614449834491,0.7192410669419186
10_10_5,0.7208350936969522,0.7879940546850139,0.4334604852140237,0.42444247227868126,0.5916830264686678,0.7371721913739905
50_75_0,0.6910060578933412,0.7612230153418884,0.4005333153794394,0.39023693320823133,0.560749830455725,0.7186171061694203
30_45_34,0.7321654239577031,0.7790320532320645,0.4685827024722029,0.4653042404938554,0.6112711050389564,0.7465528814889694
50_25_13,0.7213848408024539,0.7884443343365438,0.45809755696042553,0.41553749754142727,0.5958660574102126,0.7392658613626715
50_50_0,0.7186042409845081,0.758958055391281,0.42458748510460453,0.4198578788498974,0.5805019150825727,0.7256244104963412
10_5_3,0.6921990509768707,0.7785403376746862,0.4533302003013317,0.4097311000451558,0.5834501722495111,0.7227680667382687
30_30_22,0.7285306447088298,0.7905019969117031,0.45484014867970796,0.4614436990554281,0.6088291223389173,0.7477593290922622
60_90_45,0.6907273786542896,0.7549569857312197,0.4614080438712068,0.4696774616087293,0.5941924674663613,0.7217836190293122
60_30_0,0.7092211373337775,0.7758769604778785,0.4230019864481946,0.40100153836126257,0.5772754056552782,0.728825167119614
10_5_4,0.6786483842464262,0.7751092412727919,0.45938718885497504,0.426021535645403,0.5847915875048989,0.717584389319048
30_15_8,0.722270820240351,0.7976148569359525,0.44438131135499515,0.4334892922498718,0.5994390701952927,0.7425616430562955
60_30_15,0.723015300626994,0.7914849184080164,0.45532891775514245,0.41660014740834117,0.5966073210496234,0.7423330821962583
60_120_60,0.7258330114116636,0.7616334536717795,0.44988841384896383,0.43111555594958295,0.5921176087204976,0.7354389215027729
50_25_19,0.7292115899539078,0.7976912001218696,0.48133761981113643,0.4559304159668583,0.6160427064634431,0.7505201814386532
5_8_0,0.6798478809956572,0.7297466085364029,0.3571003310073359,0.45069342440572374,0.55434706123628,0.6964004268852128
5_5_1,0.6934306445853982,0.768668040457725,0.34357677838172607,0.355603615779765,0.5403197698011536,0.7097535541782046
50_100_0,0.6954892035151111,0.7300243507157412,0.36318822793866246,0.38935205190498595,0.5445134585186252,0.7048237468186713
10_15_8,0.7094602538462783,0.7675118818302339,0.38164811558229184,0.4214509109876981,0.5700177905616255,0.7253458757722675
50_50_13,0.7232710701020526,0.772127959763863,0.4167953540248366,0.40595616770411913,0.5795376378987177,0.7325977409934353
50_50_25,0.7096906304864413,0.7671008505717228,0.44950980377274896,0.4303943300747276,0.5891739037264102,0.7292547694272341
5_8_2,0.7148778409818215,0.7543495965073932,0.42845162704623685,0.4106863994842839,0.5770913660049338,0.7226032676146322
50_75_38,0.7216072693240861,0.7586747414584104,0.432712767602231,0.4181829900739364,0.582794442114666,0.7323193349060724
