comb,f1-0,f1-1,f1-2,f1-3,macro f1,micro f1
30_15_4,0.7405489385911024,0.7568258056728152,0.498110469595326,0.5412648068287303,0.6341875051719934,0.7519158918988766
10_5_1,0.7112216987511695,0.7392083146322354,0.4937101071077282,0.4633111598449929,0.6018628200840315,0.726820650802654
5_3_2,0.7000798610786642,0.7254081455053895,0.4520472190138616,0.45518459827103463,0.5831799559672375,0.7148800273282437
60_30_8,0.7482658200268723,0.7795993445363164,0.5363036209127521,0.5292079157258842,0.6483441753004562,0.7622274372044718
60_90_0,0.7407355934590584,0.7615403499838709,0.43009450041312003,0.5315435667811994,0.6159785026593122,0.747154549877939
5_5_4,0.7085011475279849,0.7239660647806576,0.4701930750410017,0.5029525910298993,0.601403219594886,0.7233074757375516
30_45_23,0.7386506526551319,0.7518853920261033,0.47860213667458534,0.5468536413735615,0.6289979556823456,0.7526226846903651
5_5_0,0.7051497973453638,0.730759826422869,0.5016562929152963,0.473610867415353,0.6027941960247206,0.7232979096990038
30_30_8,0.7435569401551183,0.753257809061069,0.5107001424178024,0.5336759713517708,0.6352977157464401,0.7532427490045102
60_90_68,0.7455415637755323,0.7595171540811617,0.5307360682170756,0.5670900980470533,0.6507212210302057,0.7625097814234413
50_100_75,0.7471773428755126,0.7708537896371855,0.5246683799251324,0.552457220707224,0.6487891832862638,0.7650890684171836
30_30_15,0.7460875010293356,0.7660117277542078,0.5092377042610771,0.5741526827330087,0.6488724039444073,0.7593337974618999
60_120_90,0.7438210848682889,0.752865942757621,0.5377967687776823,0.5734189806386143,0.6519756942605517,0.7601709583785349
10_10_8,0.7262810584543908,0.7424036536201953,0.5176772147394004,0.5576726166588398,0.6360086358682067,0.7448245114932832
10_20_0,0.7093652174467509,0.7480887424585616,0.46905929003035296,0.5010693680755933,0.6068956545028148,0.7337262948920731
30_15_0,0.7413153030597422,0.763973356628991,0.5049859826163999,0.5203615275460052,0.6326590424627846,0.7519442471057167
60_30_23,0.7403863576271684,0.7733024225401989,0.5665885949977529,0.5752210183186834,0.6638745983709509,0.7627875212881768
50_25_0,0.7299528005878599,0.7612745512598169,0.5165733617801085,0.5465909713894122,0.6385979212542993,0.750983259614799
50_25_6,0.7446760391885937,0.7652956635478388,0.548848234326055,0.5701146324415268,0.6572336423760036,0.7599598792727954
30_45_0,0.7358272354168965,0.7398214211426077,0.408058155956129,0.4935136686698851,0.5943051202963797,0.7376027248561178
5_10_8,0.725754484389769,0.7313822431670975,0.5251680025760798,0.5508372387842314,0.6332854922292943,0.7419453200726667
30_15_11,0.7414750555109857,0.7623630832011614,0.539944988207206,0.552363214667938,0.6490365853968226,0.7576753803990499
30_60_30,0.7589391687272804,0.7740941780945021,0.5181526527107141,0.5770448033673925,0.6570577007249723,0.7683615119913544
10_5_0,0.7122224848959636,0.7445307942062585,0.48213647072413807,0.47738644139661385,0.6040690478057436,0.7295129236584253
60_60_15,0.7574024333770876,0.7655411672616663,0.5323208133140334,0.5787951375463583,0.6585148878747863,0.7669879552864343
10_10_0,0.704420233296965,0.7364316499820881,0.45469188375569153,0.528811673158953,0.6060888600484244,0.7287644580324986
50_100_50,0.7404888729453418,0.746760536292231,0.5063309625125787,0.5713877535778547,0.6412420313320015,0.7526618965918552
30_60_15,0.7472214451998458,0.7647940364585764,0.4980271324754797,0.5593893746536377,0.6423579971968849,0.7574338317234957
60_60_0,0.7389787278629348,0.7540880816742284,0.5002130473804081,0.5267306105514739,0.6300026168672613,0.74991282416939
10_20_5,0.711788872094065,0.7287830136977527,0.4734516793161314,0.4918441648156594,0.6014669324809021,0.729423775971473
5_10_0,0.709154394201787,0.7301003695387536,0.5183630465097191,0.5408761008329533,0.6246234777708032,0.7285463438913931
50_75_19,0.747692159272192,0.7601362668080651,0.47632086014182917,0.5046187909402041,0.6221920192905726,0.7506106756264567
10_15_11,0.725596372081216,0.7430254641914991,0.5156767485752052,0.5587721422685541,0.6357676817791185,0.7464764941656499
5_3_0,0.7017340375882555,0.7219851100709733,0.4588521811112465,0.4565466074045601,0.5847794840437587,0.7144677107098754
30_45_11,0.745783289068941,0.7658636078639628,0.49340654935591505,0.5915386629160448,0.6491480273012159,0.7611245878340307
60_120_0,0.7421477073285563,0.7481045366153768,0.5120649063691559,0.5085336866842045,0.6277127092493234,0.7460021829690046
10_20_10,0.7231739577294044,0.7493889795267807,0.4864336026536529,0.5258935583120323,0.6212225245554676,0.7428886367086547
5_10_3,0.7167804530911049,0.736595455930761,0.4369052762685327,0.5136959713724694,0.600994289165717,0.7313349160603402
10_15_0,0.7142100936182665,0.7350926640710402,0.4521875075248091,0.537193006809252,0.6096708180058419,0.7329166167115735
10_15_4,0.7221347315059456,0.7529711233712062,0.48941176585362417,0.4894677575759327,0.6134963445766773,0.7394598080735224
60_60_45,0.7517810867919553,0.7671225291613132,0.5466860955702288,0.5882112822262575,0.6634502484374388,0.7675424987467597
30_60_0,0.7449325156419029,0.7778313788221167,0.4643203607574391,0.5133927756333472,0.6251192577137015,0.7569023595785268
10_10_5,0.7160097880200582,0.745424368813732,0.5110043557989348,0.5440208175626684,0.6291148325488485,0.7398604235873117
50_75_0,0.7346068260902814,0.7593119460032347,0.4870805147861077,0.5059797838859281,0.6217447676913881,0.7484279932494308
30_45_34,0.7419490152920271,0.7519274043539765,0.5213400097025427,0.5559833265618017,0.642799938977587,0.757221363207842
50_25_13,0.7505919179884323,0.7824816757696285,0.5616619142670465,0.576917293718488,0.6679132004358987,0.7694672780622348
50_50_0,0.7377302230678817,0.7521089441059852,0.4959087379319265,0.5661739835935422,0.6379804721748338,0.7477888374569326
10_5_3,0.713641981135747,0.7499051675916466,0.49520996589106253,0.5007840605632025,0.6148852937954147,0.7331024228235266
30_30_22,0.7404780920282651,0.7616805563737663,0.5308982953596577,0.5618602925636753,0.6487293090813412,0.7584964184921232
60_90_45,0.741609474755982,0.7571157436433316,0.47798742120368803,0.5486721748949358,0.6313462036244843,0.7540226447147446
60_30_0,0.7357496169439229,0.7662578414053552,0.5267244500084882,0.540947033454827,0.6424197354531482,0.7533287851191499
