comb,f1-0,f1-1,f1-2,f1-3,macro f1,micro f1
30_15_4,0.734050367176887,0.7868246181029388,0.4222029646772427,0.40102875595247667,0.5860266764773864,0.7414020393228454
10_5_1,0.7235509328272708,0.7892903603918529,0.40208810636268055,0.3742265667402449,0.5722889915805122,0.7344442323844026
5_3_2,0.6851735740414137,0.7771919136135615,0.4273274244111111,0.40816655186712436,0.5744648659833027,0.7131253681904934
60_30_8,0.7348239249545994,0.7828845672992726,0.3976303023479278,0.3932062463165062,0.5771362602295764,0.7367049269107818
60_90_0,0.7276474658789492,0.7497093779328277,0.36908705348592413,0.365282309071205,0.5529315515922266,0.7253413904353673
5_5_4,0.7079785546996431,0.7840475744301422,0.456048636073446,0.44008427074322753,0.5970397589866148,0.7311929620763321
30_45_23,0.7295121221988318,0.7595297266985139,0.4439495137631957,0.42211573868659163,0.5887767753367833,0.7353817768647325
5_5_0,0.7085443305048753,0.7612136537771927,0.43945672252673845,0.4032769911821138,0.57812292449773,0.7202097883959573
30_30_8,0.730021935063168,0.7655205505493501,0.4560097940747089,0.444648882085461,0.5990502904431719,0.7399615000822373
60_90_68,0.7296802722375143,0.7706280846736046,0.4589916092782205,0.45470951480112654,0.6035023702476165,0.7421032761817259
50_100_75,0.737290614428668,0.7622642405254432,0.46199470928890496,0.5007345418737438,0.61557102652919,0.7470854299220568
30_30_15,0.7317529809257188,0.7778243117928922,0.44861001122256844,0.4265895381848734,0.5961942105315132,0.7400076925905599
60_120_90,0.7394178381759253,0.7629010754954516,0.4698460534876663,0.471486926489144,0.6109129734120469,0.7450393498295963
10_10_8,0.7291169296772009,0.795854190204741,0.46309557069128615,0.4359162023159232,0.6059957232222878,0.7465060275665755
10_20_0,0.6900059114158243,0.7072922419294706,0.3766724169237779,0.4229015536309035,0.5492180309749941,0.6946888365581033
30_15_0,0.7375572836852764,0.7700285535497048,0.4126022538952323,0.3987445261833229,0.5797331543283841,0.7354793524663276
60_30_23,0.7348150138354259,0.7980729817235476,0.45861609993031205,0.418004295265892,0.6023770976887942,0.7465240912580349
50_25_0,0.7281030818361484,0.7688090634892858,0.41420184822389633,0.3749073664526991,0.5715053400005075,0.7285671738023831
50_25_6,0.727800206475468,0.7948187435580213,0.423463521952225,0.3816596155663599,0.5819355218880186,0.7380767230437087
30_45_0,0.7115208058200185,0.733229251903827,0.3440721720133485,0.3433430649120922,0.5330413236623215,0.7158338739743975
5_10_8,0.7097550598276234,0.7573565335183591,0.4680821429776787,0.48227474009359894,0.6043671191043152,0.7278633498336206
30_15_11,0.740780871353198,0.8045559085591155,0.4313975239251838,0.41032057800600946,0.5967637204608766,0.7502510225980232
30_60_30,0.7328692568926515,0.7512046778055685,0.4633000583696289,0.4621160374990841,0.6023725076417332,0.7366914733353728
10_5_0,0.7199524002575761,0.7835058513032839,0.3931186216239376,0.36356769993795995,0.5650361432806894,0.7278992565114633
60_60_15,0.7346966840645308,0.7626335227761564,0.4231444464904622,0.38736729767486583,0.5769604877515037,0.736501566164147
10_10_0,0.6983151944066314,0.7677898990995164,0.4233644537982325,0.3664619950282877,0.563982885583167,0.7185546468723655
50_100_50,0.7261543837269391,0.751104681034382,0.48001121706396055,0.4425871291264319,0.5999643527379284,0.7368016244634901
30_60_15,0.7260059997714562,0.7325015731889661,0.4242178648400985,0.47712666181619834,0.5899630249041798,0.7273154430679624
60_60_0,0.7305237696860254,0.7596274772612674,0.4236939916914628,0.38988727312680616,0.5759331279413904,0.7328348843411738
10_20_5,0.7111654749875195,0.737876464153798,0.3807392236954712,0.43402855455042083,0.5659524293468023,0.718778080443013
5_10_0,0.6891452865758235,0.7087446886324013,0.425815349301312,0.4417073731752489,0.5663531744211965,0.7016737438156812
50_75_19,0.7272921482869723,0.7590368643427142,0.44503458305992694,0.38021270667228413,0.5778940755904745,0.7334233995462147
10_15_11,0.7239046394460782,0.7751056107367589,0.4707221660713372,0.4461536919319646,0.6039715270465347,0.7398441059380008
5_3_0,0.6998512017621253,0.7548534608656245,0.39834046243371046,0.3704411699512324,0.5558715737531732,0.7027573766574982
30_45_11,0.7349061999884404,0.7596123895020933,0.42317371547283555,0.4489520586541602,0.5916610909043825,0.7422922370207516
60_120_0,0.698619798378767,0.7294906069839495,0.3974113680663053,0.3768315038047032,0.5505883193084313,0.7066765939904354
10_20_10,0.7261565045846123,0.7499514666539113,0.4342868278278805,0.4239524561263691,0.5835868137981933,0.7309286195472233
5_10_3,0.6807445981166629,0.7555554754218187,0.3676379682988389,0.41543273545344295,0.5548426943226907,0.7109167263498067
10_15_0,0.7028648683872964,0.7446944997897018,0.44716975516038304,0.4134780171895174,0.5770517851317247,0.7159849174747043
