comb,f1-0,f1-1,f1-2,f1-3,macro f1,micro f1
30_15_4,0.5235115868977492,0.7145033218789619,0.0,0.0,0.3095037271941778,0.6324285441780196
10_5_1,0.503264027144465,0.7183340750924718,0.0,0.0,0.3053995255592342,0.62529309680824
5_3_2,0.5628249359603656,0.6544746742398074,0.025312090657589305,0.0,0.3106529252144406,0.6114956054200112
60_30_8,0.5329226415880862,0.679099830457002,0.0,0.0,0.303005618011272,0.6205915403989319
60_90_0,0.0,0.6273585850928504,0.0,0.0,0.1568396462732126,0.4595605160524065
5_5_4,0.5427054378858325,0.6433338676154651,0.0,0.0,0.29650982637532436,0.6034350340770831
30_45_23,0.0,0.6257027931073227,0.0,0.0,0.15642569827683067,0.4574058267681889
5_5_0,0.008721342919798895,0.6295857731772826,0.0,0.0,0.15957677902427037,0.4607414977301014
30_30_8,0.0017497812773403325,0.6279186058047498,0.0,0.0,0.1574170967705225,0.4601358882917639
60_90_68,0.4986264463133824,0.676817849900242,0.0,0.0,0.29386107405340617,0.6119344264269463
50_100_75,0.25179890007087985,0.6786137103043767,0.0,0.0,0.2326031525938141,0.5467239053035569
30_30_15,0.3635070430436984,0.7009463848407882,0.0,0.0,0.2661133569711216,0.5844279779896318
60_120_90,0.4030908836975693,0.7098492122008068,0.0,0.0,0.278235023974594,0.5992881725300799
10_10_8,0.5457744693563963,0.6338785651941378,0.0,0.0,0.2949132586376335,0.6038838238398346
10_20_0,0.0,0.6247137853346082,0.0,0.0,0.15617844633365202,0.4566771333137222
30_15_0,0.39779711706444143,0.7136465903319592,0.0,0.0,0.2778609268491002,0.5992205092743688
60_30_23,0.6445092214591546,0.6528920462506025,0.0,0.0,0.32435031692743926,0.6381238880804997
50_25_0,0.43764955662418575,0.7246863858229482,0.0,0.0,0.29058398561178345,0.6158123653799579
50_25_6,0.5168047026210398,0.7143296074875376,0.0,0.0,0.3077835775271444,0.6303368074109561
30_45_0,0.0,0.6272980106628423,0.0,0.0,0.15682450266571057,0.4594986650863036
5_10_8,0.40756380825192295,0.6980244141284608,0.0,0.0,0.2763970555950959,0.5876155031635011
30_15_11,0.5984709161022861,0.6396671830755003,0.0,0.0,0.3095345247944466,0.6208683273519864
30_60_30,0.0,0.6253556289015444,0.0,0.0,0.1563389072253861,0.4571542805742388
10_5_0,0.43408868112459303,0.7234516298645395,0.0,0.0,0.28938507774728317,0.6108508206848257
60_60_15,0.10618800883509508,0.6545514636752923,0.0,0.0,0.19018486812759686,0.504466140088733
10_10_0,0.003356359520743083,0.6254932107969586,0.0,0.0,0.15721239257942543,0.45751056906035814
50_100_50,0.0,0.6230265843712313,0.0,0.0,0.15575664609280782,0.4548411952789657
30_60_15,0.0,0.6231370448373315,0.0,0.0,0.15578426120933286,0.4545212537506871
60_60_0,0.0,0.6271084074833703,0.0,0.0,0.1567771018708425,0.45926173549723853
10_20_5,0.0,0.6283674206700258,0.0,0.0,0.15709185516750646,0.4602296495042911
5_10_0,0.0,0.6256349822323358,0.0,0.0,0.15640874555808396,0.4575644276995949
50_75_19,0.0,0.6242059242397177,0.0,0.0,0.15605148105992941,0.4560578017395513
10_15_11,0.45826072577618476,0.70741149073639,0.0,0.0,0.2914180541281437,0.6079273529119629
5_3_0,0.24318140814484698,0.6810052693309648,0.0,0.0,0.23104666936895293,0.5372296411364231
30_45_11,0.0,0.6233933602456934,0.0,0.0,0.15584834006142334,0.45470307219165856
60_120_0,0.0,0.6262025167869923,0.0,0.0,0.15655062919674811,0.45780090994851275
10_20_10,0.0,0.6241689734232517,0.0,0.0,0.15604224335581296,0.4560922263956966
5_10_3,0.0,0.6291447939961523,0.0,0.0,0.1572861984990381,0.4612152939023825
10_15_0,0.0,0.6277543403001942,0.0,0.0,0.15693858507504854,0.4597251048159295
10_15_4,0.0,0.6280431680401862,0.0,0.0,0.15701079201004658,0.46017113584696084
